FACILITY NAME,ID NUMBER,TELEPHONE,ADDRESS,UNIT,CITY,COUNTY,ZIP,LICENSE TYPE,CAPACITY,,Mammography,,,Home Health Agency,,,Hospice,,,Ambulatory Surgical Facility,,,Hospital,,,Assisted Living Facility - Type I,,,Assisted Living Facility - Type II,,,End Stage Renal Disease Facility,,,Birthing Center,,,Abortion Clinic,,,Nursing Care Facility,,,Small Health Care Facility,,,Small Health Care Facility - Type N,,Personal Care Agency,
Breast Care At Holy Cross Hospital-Salt Lake,F23-106910,8013508296,1050 East South Temple,,Salt Lake City,Salt Lake,84102,Mammography,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbington Manor AL II,F23-106533,8017683900,215 North Center Street,,Lehi,Utah,84043,Assisted Living Facility - Type II,33,,Salt Lake,16,,Salt Lake,45,,Salt Lake,31,,Salt Lake,17,,Salt Lake,16,,Salt Lake,13,,Salt Lake,49,,Salt Lake,14,,Salt Lake,2,,Salt Lake,3,,Salt Lake,35,,Salt Lake,0,,Salt Lake,1,Salt Lake,43
Abbington Manor Al I,F23-106644,8017683900,215 North Center Street,,Lehi,Utah,84043,Assisted Living Facility - Type I,31,,Utah,12,,Utah,23,,Utah,13,,Utah,9,,Utah,12,,Utah,10,,Utah,34,,Utah,10,,Utah,0,,Utah,0,,Utah,17,,Utah,3,,Utah,0,Utah,19
Abbington Manor Memory Care,F23-106982,8017683900,855 West 1500 North,,Lehi,Utah,84043,Assisted Living Facility - Type II,16,,Iron,1,,Iron,2,,Iron,0,,Iron,1,,Iron,1,,Iron,0,,Iron,3,,Iron,2,,Iron,0,,Iron,0,,Iron,2,,Iron,0,,Iron,0,Iron,0
All Seasons Senior Living of Cedar City,F23-106626,4358678641,432 West 1325 North,,Cedar City,Iron,84721,Assisted Living Facility - Type II,30,,Davis,5,,Davis,9,,Davis,9,,Davis,2,,Davis,6,,Davis,7,,Davis,22,,Davis,6,,Davis,1,,Davis,0,,Davis,7,,Davis,0,,Davis,1,Davis,8
Alta Ridge - Sandy AL,F23-106889,8015711010,1360 East 9400 South,,Sandy,Salt Lake,84093,Assisted Living Facility - Type II,58,,Uintah,1,,Uintah,1,,Uintah,1,,Uintah,0,,Uintah,1,,Uintah,1,,Uintah,3,,Uintah,1,,Uintah,0,,Uintah,0,,Uintah,1,,Uintah,0,,Uintah,0,Uintah,0
Alta Ridge-Sandy MC,F23-107057,8015230384,1375 East 9400 South,,Sandy,Salt Lake,84093,Assisted Living Facility - Type II,31,,Cache,2,,Cache,4,,Cache,5,,Cache,2,,Cache,2,,Cache,0,,Cache,10,,Cache,2,,Cache,0,,Cache,1,,Cache,4,,Cache,0,,Cache,0,Cache,8
Alta View Hospital Mammography,F23-106510,8015077835,9660 South 1300 East,Suite 245,Sandy,Salt Lake,84092,Mammography,2,,Washington,3,,Washington,13,,Washington,17,,Washington,7,,Washington,2,,Washington,6,,Washington,20,,Washington,3,,Washington,0,,Washington,0,,Washington,8,,Washington,0,,Washington,0,Washington,14
American Fork Hospital Mammography,F23-106748,8018553360,170 North 1100 East,,American Fork,Utah,84003,Mammography,2,,Weber,4,,Weber,5,,Weber,3,,Weber,5,,Weber,3,,Weber,2,,Weber,14,,Weber,8,,Weber,1,,Weber,0,,Weber,11,,Weber,0,,Weber,0,Weber,1
Apple Tree Assisted Living,F23-106798,8015465600,565 North 300 West,,Kaysville,Davis,84037,Assisted Living Facility - Type I,74,,San Juan,2,,San Juan,4,,San Juan,0,,San Juan,0,,San Juan,2,,San Juan,0,,San Juan,0,,San Juan,2,,San Juan,0,,San Juan,0,,San Juan,1,,San Juan,0,,San Juan,0,San Juan,1
Apple Village Assisted Living,F23-106663,8017712525,2600 East Hobbs View Circle,,Layton,Davis,84040,Assisted Living Facility - Type II,90,,Kane,0,,Kane,0,,Kane,0,,Kane,0,,Kane,1,,Kane,1,,Kane,1,,Kane,0,,Kane,0,,Kane,0,,Kane,0,,Kane,0,,Kane,0,Kane,0
Ashford Assisted Living & Memory Care Of Springvil,F23-106538,8014891940,333 South 950 West,,Springville,Utah,84663,Assisted Living Facility - Type II,95,,Box Elder,2,,Box Elder,1,,Box Elder,1,,Box Elder,0,,Box Elder,2,,Box Elder,0,,Box Elder,5,,Box Elder,0,,Box Elder,1,,Box Elder,0,,Box Elder,3,,Box Elder,0,,Box Elder,0,Box Elder,1
"Ashford Memory Care, Inc",F23-107040,8015231600,14178 South Bangerter Parkway,,Draper,Salt Lake,84020,Assisted Living Facility - Type II,118,,Sevier,1,,Sevier,1,,Sevier,1,,Sevier,1,,Sevier,1,,Sevier,2,,Sevier,1,,Sevier,1,,Sevier,0,,Sevier,0,,Sevier,2,,Sevier,0,,Sevier,0,Sevier,0
