state,City,County,,,Rural Health Clinics,,,Critical Access Hospitals,,,Hospitals,
,,,,,,,,,,,,
wyoming,"Uinta Senior Citizens Center Inc. Evanston Adult DayHab
 1229 Uinta St.
 Evanston WY 82930",Uinta County,,,Uinta County,0,,Uinta County,0,,Uinta County,1
wyoming,"Uinta Senior Citizens Inc. Lyman Adult DayHab
 216 West Sage St.
 Lyman WY 82937",Uinta County,,,Sheridan County,0,,Sheridan County,0,,Sheridan County,1
wyoming,"Sheridan Senior Center: Day Break
 241 Smith St.
 Sheridan WY 82801",Sheridan County,,,Lincoln County,1,,Lincoln County,2,,Lincoln County,0
wyoming,"Legacy Homes Assisted Living & Adult Day Care
 2391 Muddy String Co Rd 117
 Thayne WY 83127",Lincoln County,,,Natrona County,0,,Natrona County,0,,Natrona County,2
wyoming,"Casper WY Endoscopy ASC LLC
 dba/Sterling Surgery Center
 1441 Wilkins Circle
 Casper WY 82601",Natrona County,,,Laramie County,1,,Laramie County,0,,Laramie County,1
wyoming,"Central Wyoming Outpatient Surgery Center LLC
 dba/Casper Surgical Center
 1201 East Third St.
 Casper WY 82601",Natrona County,,,Park County,2,,Park County,2,,Park County,0
wyoming,"Western Ambulatory Surgery LLC
 1421 Wilkins Circle
 Casper WY 82601",Natrona County,,,Campbell County,0,,Campbell County,0,,Campbell County,1
wyoming,"Wyoming Surgical Center LLC
 4140 Centennial Hills Blvd
 Suite C
 Casper WY 82609",Natrona County,,,Teton County,0,,Teton County,0,,Teton County,1
wyoming,"Center for Dermatologic Surgery
 123 Western Hills Blvd
 Cheyenne WY 82009",Laramie County,,,Fremont County,1,,Fremont County,0,,Fremont County,1
wyoming,"Cheyenne Ocular Surgery LLC
 dba/Cheyenne Eye Surgery
 1300 East 20th St.
 Cheyenne WY 82001",Laramie County,,,Albany County,0,,Albany County,0,,Albany County,1
wyoming,"Cheyenne Surgical Center LLC
 dba/High Plains Surgery Center
 2301 House Ave Suite 200
 Cheyenne WY 82001",Laramie County,,,Sweetwater County,1,,Sweetwater County,0,,Sweetwater County,2
wyoming,"Wyoming Endoscopy Center LLC
 7220 Commons Circle
 Cheyenne WY 82009",Laramie County,,,Johnson County,0,,Johnson County,1,,Johnson County,0
wyoming,"Northern Wyoming Surgical Center LLC
 732 Lindsay Lane
 Cody WY 82414",Park County,,,Converse County,2,,Converse County,1,,Converse County,0
wyoming,"Premier Surgical Center LLC
 195 Overthrust Rd
 Evanston WY 82930",Uinta County,,,Weston County,2,,Weston County,1,,Weston County,0
wyoming,"Advanced Surgical Care of Wyoming LLC
 51 Town Center Drive, Suite 140
 Gillette WY 82718",Campbell County,,,Crook County,3,,Crook County,1,,Crook County,0
wyoming,"The Center for Surgical Excellence Inc.
 1503 Cressett St.
 Gillette WY 82716",Campbell County,,,Hot Springs County,2,,Hot Springs County,1,,Hot Springs County,0
wyoming,"Northeast Wyoming Surgery Center LLC
 1307 West Third St., Suite B
 Gillette WY 82716",Campbell County,,,Goshen County,1,,Goshen County,1,,Goshen County,0
wyoming,"Powder River Surgery Center
 906 W 6th Street, Suite C
 Gillette WY 82716",Campbell County,,,Platte County,3,,Platte County,1,,Platte County,0
wyoming,"Teton Outpatient Services LLC
 150 Buffalo Way
 Jackson WY 83001",Teton County,,,Washakie County,1,,Washakie County,1,,Washakie County,0
