# Title: August 2023 Montana County Maximum Temperature,,,,,,
# Units: Degrees Fahrenheit,,,,,,
# Missing: -99,,,,,,
# Note: Period of Record: 130 Years,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
MT-001,Beaverhead County,Montana,72,0,59,72
MT-003,Big Horn County,Montana,83.5,0.8,76,82.7
MT-005,Blaine County,Montana,83.9,3.3,102,80.6
MT-007,Broadwater County,Montana,78.9,0.9,75,78
MT-009,Carbon County,Montana,78.6,1.7,87,76.9
MT-011,Carter County,Montana,85.1,1.6,83,83.5
MT-013,Cascade County,Montana,81.4,2.3,85,79.1
MT-015,Chouteau County,Montana,85.2,3.1,99,82.1
MT-017,Custer County,Montana,86.9,1.6,83,85.3
MT-019,Daniels County,Montana,82.7,2.8,102,79.9
MT-021,Dawson County,Montana,85.5,2,92,83.5
MT-023,Deer Lodge County,Montana,72.3,1.3,76,71
MT-025,Fallon County,Montana,83.9,0.3,68,83.6
MT-027,Fergus County,Montana,82.6,1.8,86,80.8
MT-029,Flathead County,Montana,76.8,4.1,104,72.7
MT-031,Gallatin County,Montana,74.9,-0.3,56,75.2
MT-033,Garfield County,Montana,87.1,3.6,107,83.5
MT-035,Glacier County,Montana,77.1,4.9,110,72.2
MT-037,Golden Valley County,Montana,82.1,0.3,67,81.8
MT-039,Granite County,Montana,74.1,1.8,85,72.3
MT-041,Hill County,Montana,84.2,3.4,104,80.8
MT-043,Jefferson County,Montana,76.7,2.2,88,74.5
MT-045,Judith Basin County,Montana,77.9,1,74,76.9
MT-047,Lake County,Montana,80.6,2.9,95,77.7
MT-049,Lewis and Clark County,Montana,76.7,1.8,83,74.9
MT-051,Liberty County,Montana,82.5,2.5,93,80
MT-053,Lincoln County,Montana,78.9,3.8,105,75.1
MT-055,McCone County,Montana,86.6,3,100,83.6
MT-057,Madison County,Montana,73.3,-0.6,49,73.9
MT-059,Meagher County,Montana,75.6,1.6,80,74
MT-061,Mineral County,Montana,77.5,1.6,82,75.9
MT-063,Missoula County,Montana,77.5,1.7,82,75.8
MT-065,Musselshell County,Montana,84.7,1,74,83.7
MT-067,Park County,Montana,74.1,0.4,67,73.7
MT-069,Petroleum County,Montana,86.8,2.2,87,84.6
MT-071,Phillips County,Montana,86,3.3,102,82.7
MT-073,Pondera County,Montana,80.2,2.7,93,77.5
MT-075,Powder River County,Montana,87.1,2.2,89,84.9
MT-077,Powell County,Montana,75.4,1.6,82,73.8
MT-079,Prairie County,Montana,86,1.7,86,84.3
MT-081,Ravalli County,Montana,75.5,1.7,83,73.8
MT-083,Richland County,Montana,85.2,2.1,94,83.1
MT-085,Roosevelt County,Montana,84.9,2.8,99,82.1
MT-087,Rosebud County,Montana,86.4,1.8,86,84.6
MT-089,Sanders County,Montana,80.3,2.8,97,77.5
MT-091,Sheridan County,Montana,83.5,3.1,102,80.4
MT-093,Silver Bow County,Montana,74.2,1.3,75,72.9
MT-095,Stillwater County,Montana,79.6,0.1,68,79.5
MT-097,Sweet Grass County,Montana,77.4,0.1,61,77.3
MT-099,Teton County,Montana,79,2.1,87,76.9
MT-101,Toole County,Montana,81.8,2.3,89,79.5
MT-103,Treasure County,Montana,86.5,1.4,83,85.1
MT-105,Valley County,Montana,85,3.5,103,81.5
MT-107,Wheatland County,Montana,78.9,0.1,64,78.8
MT-109,Wibaux County,Montana,83.3,-0.1,63,83.4
MT-111,Yellowstone County,Montana,85.6,1.5,84,84.1
