# Title: July 2023 Montana County Maximum Temperature,,,,,,
# Units: Degrees Fahrenheit,,,,,,
# Missing: -99,,,,,,
# Note: Period of Record: 130 Years,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
MT-001,Beaverhead County,Montana,77.2,3.5,106,73.7
MT-003,Big Horn County,Montana,84,-0.1,52,84.1
MT-005,Blaine County,Montana,84.8,2.8,96,82
MT-007,Broadwater County,Montana,81.4,2.1,88,79.3
MT-009,Carbon County,Montana,79.3,0.9,68,78.4
MT-011,Carter County,Montana,85.7,0.9,74,84.8
MT-013,Cascade County,Montana,83.2,2.9,101,80.3
MT-015,Chouteau County,Montana,86.7,3.2,102,83.5
MT-017,Custer County,Montana,87.4,0.4,57,87
MT-019,Daniels County,Montana,82.2,1.2,77,81
MT-021,Dawson County,Montana,85.1,0.3,68,84.8
MT-023,Deer Lodge County,Montana,75.4,2.6,93,72.8
MT-025,Fallon County,Montana,84.6,-0.2,58,84.8
MT-027,Fergus County,Montana,83.6,1.8,79,81.8
MT-029,Flathead County,Montana,79.7,5.2,120,74.5
MT-031,Gallatin County,Montana,79,2.5,96,76.5
MT-033,Garfield County,Montana,87,2,85,85
MT-035,Glacier County,Montana,78.7,5.3,121,73.4
MT-037,Golden Valley County,Montana,82.9,0.1,56,82.8
MT-039,Granite County,Montana,77.7,3.7,111,74
MT-041,Hill County,Montana,85.8,3.4,105,82.4
MT-043,Jefferson County,Montana,79.5,3.4,100,76.1
MT-045,Judith Basin County,Montana,79.4,1.7,80,77.7
MT-047,Lake County,Montana,84.4,5.1,119,79.3
MT-049,Lewis and Clark County,Montana,79.5,3.3,105,76.2
MT-051,Liberty County,Montana,85,3.6,109,81.4
MT-053,Lincoln County,Montana,81.4,4.9,117,76.5
MT-055,McCone County,Montana,85.4,0.4,63,85
MT-057,Madison County,Montana,78.2,2.6,94,75.6
MT-059,Meagher County,Montana,77.5,2.6,91,74.9
MT-061,Mineral County,Montana,82,4.9,118,77.1
MT-063,Missoula County,Montana,81.7,4.3,112,77.4
MT-065,Musselshell County,Montana,84.4,-0.5,48,84.9
MT-067,Park County,Montana,77.7,2.7,96,75
MT-069,Petroleum County,Montana,86.3,0.5,69,85.8
MT-071,Phillips County,Montana,86.2,2.1,86,84.1
MT-073,Pondera County,Montana,81.9,3.1,106,78.8
MT-075,Powder River County,Montana,87.1,0.9,67,86.2
MT-077,Powell County,Montana,78.7,3.5,110,75.2
MT-079,Prairie County,Montana,86,0.2,61,85.8
MT-081,Ravalli County,Montana,79.7,4.1,115,75.6
MT-083,Richland County,Montana,84.8,0.5,69,84.3
MT-085,Roosevelt County,Montana,84,0.7,69,83.3
MT-087,Rosebud County,Montana,87,0.8,67,86.2
MT-089,Sanders County,Montana,83.2,4.5,117,78.7
MT-091,Sheridan County,Montana,82.8,1.1,78,81.7
MT-093,Silver Bow County,Montana,77.4,2.7,91,74.7
MT-095,Stillwater County,Montana,80.6,-0.2,52,80.8
MT-097,Sweet Grass County,Montana,79.4,1.1,71,78.3
MT-099,Teton County,Montana,80.8,2.6,96,78.2
MT-101,Toole County,Montana,84.1,3.3,110,80.8
MT-103,Treasure County,Montana,86.7,0.2,59,86.5
MT-105,Valley County,Montana,84.6,1.7,86,82.9
MT-107,Wheatland County,Montana,80.3,0.7,62,79.6
MT-109,Wibaux County,Montana,84.1,-0.4,52,84.5
MT-111,Yellowstone County,Montana,86.2,0.5,57,85.7
