# Title: August 2023 South Dakota County Maximum Temperature,,,,,,
# Units: Degrees Fahrenheit,,,,,,
# Missing: -99,,,,,,
# Note: Period of Record: 130 Years,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
SD-003,Aurora County,South Dakota,86.3,1.2,84,85.1
SD-005,Beadle County,South Dakota,85.6,0.9,85,84.7
SD-007,Bennett County,South Dakota,85.6,0.3,65,85.3
SD-009,Bon Homme County,South Dakota,86.1,0.6,81,85.5
SD-011,Brookings County,South Dakota,82.8,1.7,101,81.1
SD-013,Brown County,South Dakota,82.1,-0.5,56,82.6
SD-015,Brule County,South Dakota,86.8,0.9,80,85.9
SD-017,Buffalo County,South Dakota,85.8,0.2,75,85.6
SD-019,Butte County,South Dakota,85.9,0.7,76,85.2
SD-021,Campbell County,South Dakota,80.2,-3.5,26,83.7
SD-023,Charles Mix County,South Dakota,87.3,0.9,80,86.4
SD-025,Clark County,South Dakota,83.1,1.5,94,81.6
SD-027,Clay County,South Dakota,85.7,1,89,84.7
SD-029,Codington County,South Dakota,82,1.7,95,80.3
SD-031,Corson County,South Dakota,82.7,-1.5,47,84.2
SD-033,Custer County,South Dakota,82.8,0.1,65,82.7
SD-035,Davison County,South Dakota,86.5,1.2,87,85.3
SD-037,Day County,South Dakota,80.9,0.4,80,80.5
SD-039,Deuel County,South Dakota,82.3,2.4,104,79.9
SD-041,Dewey County,South Dakota,83.8,-1.5,49,85.3
SD-043,Douglas County,South Dakota,86.7,0.9,86,85.8
SD-045,Edmunds County,South Dakota,81.6,-1.9,44,83.5
SD-047,Fall River County,South Dakota,86.5,-0.3,55,86.8
SD-049,Faulk County,South Dakota,82.5,-1.1,50,83.6
SD-051,Grant County,South Dakota,82.6,1.6,97,81
SD-053,Gregory County,South Dakota,87.2,1.5,86,85.7
SD-055,Haakon County,South Dakota,86.2,-0.7,55,86.9
SD-057,Hamlin County,South Dakota,83.1,2.4,103,80.7
SD-059,Hand County,South Dakota,83.7,-1,55,84.7
SD-061,Hanson County,South Dakota,86.4,1.6,92,84.8
SD-063,Harding County,South Dakota,85.5,1.7,89,83.8
SD-065,Hughes County,South Dakota,86,-0.8,52,86.8
SD-067,Hutchinson County,South Dakota,86.2,1,89,85.2
SD-069,Hyde County,South Dakota,83.6,-1.1,49,84.7
SD-071,Jackson County,South Dakota,87.5,0.2,66,87.3
SD-073,Jerauld County,South Dakota,84.7,0.3,75,84.4
SD-075,Jones County,South Dakota,87,-0.6,55,87.6
SD-077,Kingsbury County,South Dakota,84,1.6,99,82.4
SD-079,Lake County,South Dakota,83.7,1.2,97,82.5
SD-081,Lawrence County,South Dakota,79,-0.2,62,79.2
SD-083,Lincoln County,South Dakota,84.3,0.9,83,83.4
SD-085,Lyman County,South Dakota,87.4,0.2,73,87.2
SD-087,McCook County,South Dakota,85.1,1.4,96,83.7
SD-089,McPherson County,South Dakota,79.5,-2.9,35,82.4
SD-091,Marshall County,South Dakota,80.2,-0.3,63,80.5
SD-093,Meade County,South Dakota,85.3,0,62,85.3
SD-095,Mellette County,South Dakota,88,0.4,75,87.6
SD-097,Miner County,South Dakota,85.4,1.6,96,83.8
SD-099,Minnehaha County,South Dakota,83.7,1.1,95,82.6
SD-101,Moody County,South Dakota,83,0.9,92,82.1
SD-102,Oglala Lakota County,South Dakota,86.2,-0.2,55,86.4
SD-103,Pennington County,South Dakota,84.3,0.4,66,83.9
SD-105,Perkins County,South Dakota,84.7,0.4,69,84.3
SD-107,Potter County,South Dakota,82,-2.2,41,84.2
SD-109,Roberts County,South Dakota,81.5,0.3,75,81.2
SD-111,Sanborn County,South Dakota,86.2,1,88,85.2
SD-115,Spink County,South Dakota,84.4,0.5,85,83.9
SD-117,Stanley County,South Dakota,86,-1.3,46,87.3
SD-119,Sully County,South Dakota,84.3,-1.6,46,85.9
SD-121,Todd County,South Dakota,86.1,0.2,69,85.9
SD-123,Tripp County,South Dakota,87.6,1,81,86.6
SD-125,Turner County,South Dakota,85,1,90,84
SD-127,Union County,South Dakota,85.4,1.3,92,84.1
SD-129,Walworth County,South Dakota,80.9,-2.8,32,83.7
SD-135,Yankton County,South Dakota,85.8,1.1,87,84.7
SD-137,Ziebach County,South Dakota,84.7,-0.9,54,85.6
