County,Total Workers H2A Certified,State
Adams,648,Colorado
Alamosa,38,Colorado
Arapahoe,28,Colorado
Baca,8,Colorado
Bent,13,Colorado
Boulder,188,Colorado
Cheyenne,23,Colorado
Conejos,9,Colorado
Costilla,13,Colorado
Delta,223,Colorado
Denver,42,Colorado
Douglas,36,Colorado
Eagle,13,Colorado
El Paso,156,Colorado
Garfield,49,Colorado
Grand,28,Colorado
Gunnison,6,Colorado
Jackson,53,Colorado
Jefferson,22,Colorado
Kit Carson,39,Colorado
La Plata,7,Colorado
Larimer,45,Colorado
Las Animas,1,Colorado
Lincoln,3,Colorado
Logan,22,Colorado
Mesa,608,Colorado
Moffat,117,Colorado
Montezuma,6,Colorado
Montrose,233,Colorado
Morgan,16,Colorado
Otero,121,Colorado
Ouray,6,Colorado
Phillips,8,Colorado
Pitkin,5,Colorado
Prowers,11,Colorado
Pueblo,256,Colorado
Rio Blanco,59,Colorado
Rio Grande,14,Colorado
Routt,97,Colorado
Saguache,33,Colorado
San Miguel,3,Colorado
Sedgwick,6,Colorado
Summit,2,Colorado
Washington,11,Colorado
Weld,288,Colorado
Yuma,68,Colorado
OtherCO,30,Colorado
Beaverhead,185,Montana
Big Horn,49,Montana
Blaine,61,Montana
Broadwater,27,Montana
Carbon,1,Montana
Carter,29,Montana
Cascade,4,Montana
Chouteau,15,Montana
Custer,54,Montana
Daniels,55,Montana
Dawson,22,Montana
Deer Lodge,4,Montana
Fallon,8,Montana
Fergus,10,Montana
Flathead,73,Montana
Fremont,4,Montana
Gallatin,72,Montana
Garfield,8,Montana
Glacier,16,Montana
Golden Valley,17,Montana
Granite,3,Montana
Hill,65,Montana
Jefferson,15,Montana
Judith Basin,6,Montana
Kings,12,Montana
Lake,27,Montana
Lewis and Clark,21,Montana
Liberty,35,Montana
Lincoln,1,Montana
Madison,53,Montana
McCone,25,Montana
Meagher,6,Montana
Missoula,17,Montana
Park,13,Montana
Phillips,20,Montana
Pondera,17,Montana
Powder River,3,Montana
Powell,13,Montana
Prairie,18,Montana
Ravalli,46,Montana
Richland,106,Montana
Roosevelt,48,Montana
Rosebud,17,Montana
Sanders,13,Montana
Sheridan,63,Montana
Stillwater,28,Montana
Sweet Grass,22,Montana
Teton,26,Montana
Toole,14,Montana
Treasure,9,Montana
Valley,54,Montana
Wheatland,12,Montana
Wibaux,13,Montana
Yellowstone,69,Montana
OtherMT,22,Montana
ND (Total),3728,
Adams,31,
Barnes,41,
Benson,48,
Billings,2,
Bon Homme,5,
Bottineau,84,
Bowman,22,
Burke,16,
Burleigh,83,
Cass,73,
Cavalier,133,
Dickey,97,
Divide,34,
Dunn,41,
Eddy,27,
Emmons,73,
Foster,79,
Golden Valley,,
Grand Forks,170,
Grant,15,
Griggs,10,
Hettinger,30,
Kidder,64,
LaMoure,57,
Logan,43,
Marshall,2,
McHenry,76,
McIntosh,60,
McKenzie,25,
McLean,187,
Mercer,46,
Morton,119,
Mountrail,105,
Nelson,80,
Oliver,16,
Pembina,203,
Pierce,17,
Polk,4,
Ramsey,139,
Ransom,24,
Renville,44,
Richland,89,
Rolette,28,
Sargent,116,
Sheridan,23,
Sioux,6,
Slope,23,
Stark,46,
Steele,62,
Stutsman,74,
Towner,35,
Traill,71,
Walsh,257,
Ward,178,
Wells,113,
Wilkin,3,
Williams,110,
#N/A,69,
SD (Total),1947,
Aurora,15,
Beadle,80,
Bennett,7,
Bon Homme,9,
Brookings,135,
Brown,80,
Brule,18,
Campbell,11,
Charles Mix,154,
Clark,18,
Clay,1,
Codington,10,
Corson,63,
Davison,45,
Day,19,
Deuel,8,
Dewey,16,
Douglas,24,
Edmunds,142,
Fall River,6,
Faulk,12,
Grant,51,
Gregory,19,
Haakon,4,
Hamlin,64,
Hand,90,
Hanson,9,
Harding,5,
Hughes,68,
Hutchinson,8,
Hyde,33,
Jackson,2,
Jerauld,28,
Jones,11,
Kingsbury,71,
Lake,24,
Lawrence,2,
Lincoln,12,
Lyman,43,
Marshall,34,
McCook,3,
McPherson,37,
Mellette,4,
Minnehaha,41,
Pennington,13,
Perkins,57,
Potter,68,
Roberts,17,
Sanborn,22,
Spink,39,
Stanley,18,
Sully,62,
Todd,8,
Tripp,55,
Union,10,
Walworth,14,
Yankton,16,
Ziebach,7,
#N/A,5,
UT (Total),1565,
Beaver,5,
Box Elder,116,
Cache,24,
Carbon,23,
Davis,87,
Duchesne,36,
Emery,8,
Iron,44,
Juab,68,
Millard,23,
Morgan,10,
Piute,10,
Rich,21,
Salt Lake,122,
Sanpete,119,
Sevier,3,
Summit,85,
Tooele,33,
Uintah,9,
Utah,488,
Wasatch,17,
Washington,6,
Wayne,14,
Weber,133,
#N/A,61,
WY (Total),495,
Albany,1,
Big Horn,56,
Campbell,8,
Carbon,109,
Converse,9,
Crook,,
Fremont,20,
Goshen,3,
Hot Springs,,
Johnson,30,
Laramie,10,
Lincoln,56,
Niobrara,24,
Park,9,
Platte,2,
Rio Blanco,3,
Sheridan,16,
Sublette,2,
Summit,20,
Sweetwater,39,
Teton,5,
Uinta,46,
Washakie,13,
Weston,2,
#N/A,12,
Grand Total,13092,
