state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,905
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),150
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),411
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),139
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),67
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),39
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",99
COLORADO,08,ADAMS,001,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"705,289"
COLORADO,08,ADAMS,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,779
COLORADO,08,ADAMS,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,40
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,256,762"
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,613"
COLORADO,08,ADAMS,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"117,126,000"
COLORADO,08,ADAMS,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"129,421"
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,570
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, CROPLAND - ACRES",,"586,828"
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,384
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"283,538"
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,214
COLORADO,08,ADAMS,001,AG LAND,"AG LAND, IRRIGATED - ACRES",,"21,557"
COLORADO,08,ADAMS,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"126,500,000"
COLORADO,08,ADAMS,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"139,779"
COLORADO,08,ADAMS,001,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"103,563,000"
COLORADO,08,ADAMS,001,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"22,937,000"
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",467
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",90
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",75
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",82
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",49
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",39
COLORADO,08,ADAMS,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",103
COLORADO,08,ADAMS,001,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,236
COLORADO,08,ADAMS,001,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"5,037,000"
COLORADO,08,ADAMS,001,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,282
COLORADO,08,ADAMS,001,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"9,577,000"
COLORADO,08,ADAMS,001,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"117,262,000"
COLORADO,08,ADAMS,001,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"129,571"
COLORADO,08,ADAMS,001,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,905
COLORADO,08,ADAMS,001,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"23,852,000"
COLORADO,08,ADAMS,001,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"26,355"
