state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,280
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),14
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),51
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),76
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),44
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),37
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",58
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"192,030"
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,686
COLORADO,08,ALAMOSA,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,166
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,453,990"
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,120"
COLORADO,08,ALAMOSA,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"76,381,000"
COLORADO,08,ALAMOSA,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"272,790"
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,178
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, CROPLAND - ACRES",,"81,082"
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,149
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"59,432"
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,181
COLORADO,08,ALAMOSA,003,AG LAND,"AG LAND, IRRIGATED - ACRES",,"79,543"
COLORADO,08,ALAMOSA,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"89,334,000"
COLORADO,08,ALAMOSA,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"319,051"
COLORADO,08,ALAMOSA,003,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"81,248,000"
COLORADO,08,ALAMOSA,003,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"8,086,000"
