state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,274
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),23
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),12
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),71
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),49
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),26
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",93
COLORADO,08,BENT,011,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"734,630"
COLORADO,08,BENT,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,681"
COLORADO,08,BENT,011,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,400
COLORADO,08,BENT,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,850,149"
COLORADO,08,BENT,011,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,690
COLORADO,08,BENT,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"45,607,000"
COLORADO,08,BENT,011,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"166,448"
COLORADO,08,BENT,011,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,156
COLORADO,08,BENT,011,AG LAND,"AG LAND, CROPLAND - ACRES",,"93,280"
COLORADO,08,BENT,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,98
COLORADO,08,BENT,011,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,(D)
COLORADO,08,BENT,011,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,92
COLORADO,08,BENT,011,AG LAND,"AG LAND, IRRIGATED - ACRES",,"38,828"
COLORADO,08,BENT,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"60,817,000"
COLORADO,08,BENT,011,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"221,962"
COLORADO,08,BENT,011,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"16,433,000"
COLORADO,08,BENT,011,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"44,385,000"
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",103
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",5
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",13
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",26
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",20
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",26
COLORADO,08,BENT,011,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",81
COLORADO,08,BENT,011,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,141
COLORADO,08,BENT,011,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"1,854,000"
COLORADO,08,BENT,011,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,115
COLORADO,08,BENT,011,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,662,000"
COLORADO,08,BENT,011,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"50,086,000"
COLORADO,08,BENT,011,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"182,796"
COLORADO,08,BENT,011,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,274
COLORADO,08,BENT,011,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"15,247,000"
COLORADO,08,BENT,011,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"55,647"
COLORADO,08,BENT,011,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,147
COLORADO,08,BENT,011,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"27,518"
COLORADO,08,BENT,011,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,143
COLORADO,08,BENT,011,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"16,269"
COLORADO,08,BENT,011,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
COLORADO,08,BENT,011,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,8
COLORADO,08,BENT,011,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,132
COLORADO,08,BENT,011,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"20,686"
COLORADO,08,BENT,011,HOGS,HOGS - OPERATIONS WITH INVENTORY,,2
COLORADO,08,BENT,011,HOGS,HOGS - INVENTORY,,(D)
COLORADO,08,BENT,011,HOGS,HOGS - OPERATIONS WITH SALES,,3
COLORADO,08,BENT,011,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
COLORADO,08,BENT,011,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,7
COLORADO,08,BENT,011,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,211
COLORADO,08,BENT,011,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,30
COLORADO,08,BENT,011,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,403
COLORADO,08,BENT,011,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,44
