state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,012"
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),373
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),426
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),144
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),35
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),12
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",22
COLORADO,08,BOULDER,013,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"107,043"
COLORADO,08,BOULDER,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,106
COLORADO,08,BOULDER,013,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,15
COLORADO,08,BOULDER,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,329,691"
COLORADO,08,BOULDER,013,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"12,571"
COLORADO,08,BOULDER,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"67,843,000"
COLORADO,08,BOULDER,013,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"67,305"
COLORADO,08,BOULDER,013,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,793
COLORADO,08,BOULDER,013,AG LAND,"AG LAND, CROPLAND - ACRES",,"38,128"
COLORADO,08,BOULDER,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,704
COLORADO,08,BOULDER,013,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"28,868"
COLORADO,08,BOULDER,013,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,712
