state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,38
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),14
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),15
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),4
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),2
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",3
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"8,506"
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,224
COLORADO,08,BROOMFIELD,014,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,25
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,223,811"
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,467"
COLORADO,08,BROOMFIELD,014,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"1,836,000"
COLORADO,08,BROOMFIELD,014,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"48,312"
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,31
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, CROPLAND - ACRES",,"7,695"
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,17
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"2,221"
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,12
COLORADO,08,BROOMFIELD,014,AG LAND,"AG LAND, IRRIGATED - ACRES",,"1,231"
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"613,000"
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"16,125"
COLORADO,08,BROOMFIELD,014,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"475,000"
COLORADO,08,BROOMFIELD,014,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"138,000"
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",31
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",1
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",1
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",2
COLORADO,08,BROOMFIELD,014,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",3
COLORADO,08,BROOMFIELD,014,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,1
COLORADO,08,BROOMFIELD,014,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,(D)
COLORADO,08,BROOMFIELD,014,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,2
COLORADO,08,BROOMFIELD,014,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,(D)
COLORADO,08,BROOMFIELD,014,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"713,000"
COLORADO,08,BROOMFIELD,014,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"18,775"
COLORADO,08,BROOMFIELD,014,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,38
COLORADO,08,BROOMFIELD,014,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-76,000"
COLORADO,08,BROOMFIELD,014,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-1,995"
COLORADO,08,BROOMFIELD,014,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,11
COLORADO,08,BROOMFIELD,014,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,268
COLORADO,08,BROOMFIELD,014,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,9
COLORADO,08,BROOMFIELD,014,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,89
COLORADO,08,BROOMFIELD,014,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,5
COLORADO,08,BROOMFIELD,014,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,319
COLORADO,08,BROOMFIELD,014,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,2
COLORADO,08,BROOMFIELD,014,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,(D)
COLORADO,08,BROOMFIELD,014,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,8
COLORADO,08,BROOMFIELD,014,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,24
COLORADO,08,BROOMFIELD,014,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,BROOMFIELD,014,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
COLORADO,08,BROOMFIELD,014,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
COLORADO,08,BROOMFIELD,014,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,2
COLORADO,08,BROOMFIELD,014,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
COLORADO,08,BROOMFIELD,014,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
COLORADO,08,BROOMFIELD,014,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,3
COLORADO,08,BROOMFIELD,014,WHEAT,WHEAT - ACRES HARVESTED,,(D)
COLORADO,08,BROOMFIELD,014,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,(D)
COLORADO,08,BROOMFIELD,014,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,BROOMFIELD,014,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,(D)
