state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,33
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),3
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),10
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),3
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),3
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",3
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"10,357"
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,314
COLORADO,08,CLEAR CREEK,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,55
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"990,682"
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,157"
COLORADO,08,CLEAR CREEK,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"1,805,000"
COLORADO,08,CLEAR CREEK,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"54,704"
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,21
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, CROPLAND - ACRES",,924
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,19
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,454
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,17
COLORADO,08,CLEAR CREEK,019,AG LAND,"AG LAND, IRRIGATED - ACRES",,286
COLORADO,08,CLEAR CREEK,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"174,000"
COLORADO,08,CLEAR CREEK,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"5,261"
COLORADO,08,CLEAR CREEK,019,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"53,000"
COLORADO,08,CLEAR CREEK,019,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"121,000"
COLORADO,08,CLEAR CREEK,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,CLEAR CREEK,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",18
COLORADO,08,CLEAR CREEK,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",5
COLORADO,08,CLEAR CREEK,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",9
