state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,524
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),44
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),131
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),131
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),84
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),59
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",75
COLORADO,08,CONEJOS,021,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"266,278"
COLORADO,08,CONEJOS,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,508
COLORADO,08,CONEJOS,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,140
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"857,351"
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,687"
COLORADO,08,CONEJOS,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"70,025,000"
COLORADO,08,CONEJOS,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"133,635"
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,414
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, CROPLAND - ACRES",,"131,453"
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,388
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"103,574"
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,384
COLORADO,08,CONEJOS,021,AG LAND,"AG LAND, IRRIGATED - ACRES",,"119,518"
COLORADO,08,CONEJOS,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"53,941,000"
COLORADO,08,CONEJOS,021,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"102,941"
COLORADO,08,CONEJOS,021,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"34,080,000"
