state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,229
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),107
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),45
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),32
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),12
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",22
COLORADO,08,COSTILLA,023,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"357,617"
COLORADO,08,COSTILLA,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,562"
COLORADO,08,COSTILLA,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,46
COLORADO,08,COSTILLA,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,898,119"
COLORADO,08,COSTILLA,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,215"
COLORADO,08,COSTILLA,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"35,310,000"
COLORADO,08,COSTILLA,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"154,192"
COLORADO,08,COSTILLA,023,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,197
COLORADO,08,COSTILLA,023,AG LAND,"AG LAND, CROPLAND - ACRES",,"50,567"
COLORADO,08,COSTILLA,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,166
COLORADO,08,COSTILLA,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"31,267"
COLORADO,08,COSTILLA,023,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,167
