state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,615"
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),433
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),693
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),288
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),114
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),41
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",46
COLORADO,08,DELTA,029,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"236,846"
COLORADO,08,DELTA,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,147
COLORADO,08,DELTA,029,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,25
COLORADO,08,DELTA,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"705,824"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,813"
COLORADO,08,DELTA,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"109,790,000"
COLORADO,08,DELTA,029,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"67,981"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"1,303"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, CROPLAND - ACRES",,"69,393"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,198"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"49,214"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,"1,429"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, IRRIGATED - ACRES",,"66,762"
COLORADO,08,DELTA,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"67,117,000"
COLORADO,08,DELTA,029,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"41,558"
COLORADO,08,DELTA,029,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"30,366,000"
COLORADO,08,DELTA,029,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"36,751,000"
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",849
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",165
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",170
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",153
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",94
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",54
COLORADO,08,DELTA,029,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",130
COLORADO,08,DELTA,029,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,101
COLORADO,08,DELTA,029,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"897,000"
COLORADO,08,DELTA,029,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,383
COLORADO,08,DELTA,029,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,075,000"
COLORADO,08,DELTA,029,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"59,466,000"
COLORADO,08,DELTA,029,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"36,821"
COLORADO,08,DELTA,029,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"1,615"
COLORADO,08,DELTA,029,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"14,623,000"
COLORADO,08,DELTA,029,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"9,054"
COLORADO,08,DELTA,029,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,513
COLORADO,08,DELTA,029,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"40,550"
COLORADO,08,DELTA,029,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,419
COLORADO,08,DELTA,029,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
COLORADO,08,DELTA,029,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,13
COLORADO,08,DELTA,029,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
COLORADO,08,DELTA,029,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,396
COLORADO,08,DELTA,029,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"23,694"
COLORADO,08,DELTA,029,HOGS,HOGS - OPERATIONS WITH INVENTORY,,56
COLORADO,08,DELTA,029,HOGS,HOGS - INVENTORY,,910
COLORADO,08,DELTA,029,HOGS,HOGS - OPERATIONS WITH SALES,,61
COLORADO,08,DELTA,029,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"1,284"
COLORADO,08,DELTA,029,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,77
COLORADO,08,DELTA,029,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"15,613"
COLORADO,08,DELTA,029,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,261
COLORADO,08,DELTA,029,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"7,159"
COLORADO,08,DELTA,029,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,22
COLORADO,08,DELTA,029,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"2,827"
COLORADO,08,DELTA,029,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,33
COLORADO,08,DELTA,029,CORN,"CORN, GRAIN - ACRES HARVESTED",,"4,087"
COLORADO,08,DELTA,029,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"672,246"
COLORADO,08,DELTA,029,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,18
COLORADO,08,DELTA,029,CORN,"CORN, SILAGE - ACRES HARVESTED",,"2,315"
COLORADO,08,DELTA,029,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"55,731"
COLORADO,08,DELTA,029,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,14
COLORADO,08,DELTA,029,WHEAT,WHEAT - ACRES HARVESTED,,"1,496"
COLORADO,08,DELTA,029,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"151,797"
COLORADO,08,DELTA,029,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,14
COLORADO,08,DELTA,029,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"1,496"
COLORADO,08,DELTA,029,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"151,797"
COLORADO,08,DELTA,029,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,3
COLORADO,08,DELTA,029,OATS,OATS - ACRES HARVESTED,,72
COLORADO,08,DELTA,029,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"5,450"
COLORADO,08,DELTA,029,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,1
COLORADO,08,DELTA,029,BARLEY,BARLEY - ACRES HARVESTED,,(D)
COLORADO,08,DELTA,029,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,(D)
COLORADO,08,DELTA,029,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,20
COLORADO,08,DELTA,029,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"1,464"
COLORADO,08,DELTA,029,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,"35,374"
COLORADO,08,DELTA,029,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,"1,025"
COLORADO,08,DELTA,029,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"34,823"
COLORADO,08,DELTA,029,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"67,495"
COLORADO,08,DELTA,029,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,1
COLORADO,08,DELTA,029,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,(D)
COLORADO,08,DELTA,029,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,(D)
COLORADO,08,DELTA,029,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,83
COLORADO,08,DELTA,029,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,"1,295"
COLORADO,08,DELTA,029,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,15
COLORADO,08,DELTA,029,POTATOES,POTATOES - ACRES HARVESTED,,7
COLORADO,08,DELTA,029,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,154
COLORADO,08,DELTA,029,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,"2,070"
COLORADO,08,DELTA,029,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,"1,615"
