state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,223"
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),180
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),644
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),241
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),98
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),23
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",37
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"201,574"
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,165
COLORADO,08,DOUGLAS,035,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,36
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,112,035"
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"6,747"
COLORADO,08,DOUGLAS,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"61,790,000"
COLORADO,08,DOUGLAS,035,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"50,523"
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,484
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, CROPLAND - ACRES",,"26,536"
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,305
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"12,371"
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,87
COLORADO,08,DOUGLAS,035,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,285"
COLORADO,08,DOUGLAS,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"18,867,000"
COLORADO,08,DOUGLAS,035,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"15,427"
COLORADO,08,DOUGLAS,035,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"11,700,000"
COLORADO,08,DOUGLAS,035,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"7,168,000"
COLORADO,08,DOUGLAS,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,DOUGLAS,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",811
COLORADO,08,DOUGLAS,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",146
COLORADO,08,DOUGLAS,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",99
COLORADO,08,DOUGLAS,035,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",82
