state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,257
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),41
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),74
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),81
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),31
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),10
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",20
COLORADO,08,EAGLE,037,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"155,200"
COLORADO,08,EAGLE,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,604
COLORADO,08,EAGLE,037,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,77
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,998,474"
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,309"
COLORADO,08,EAGLE,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"21,480,000"
COLORADO,08,EAGLE,037,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"83,582"
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,201
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, CROPLAND - ACRES",,"15,360"
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,170
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"12,404"
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,191
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, IRRIGATED - ACRES",,"14,780"
COLORADO,08,EAGLE,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"8,243,000"
COLORADO,08,EAGLE,037,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"32,074"
COLORADO,08,EAGLE,037,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"1,972,000"
COLORADO,08,EAGLE,037,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"6,271,000"
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",121
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",30
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",35
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",24
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",13
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",18
COLORADO,08,EAGLE,037,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",16
COLORADO,08,EAGLE,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,13
COLORADO,08,EAGLE,037,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"60,000"
COLORADO,08,EAGLE,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,91
COLORADO,08,EAGLE,037,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,219,000"
COLORADO,08,EAGLE,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"11,465,000"
COLORADO,08,EAGLE,037,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"44,610"
COLORADO,08,EAGLE,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,257
COLORADO,08,EAGLE,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"57,000"
COLORADO,08,EAGLE,037,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,223
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,72
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"9,513"
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,66
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,49
COLORADO,08,EAGLE,037,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"6,024"
COLORADO,08,EAGLE,037,HOGS,HOGS - OPERATIONS WITH INVENTORY,,4
COLORADO,08,EAGLE,037,HOGS,HOGS - INVENTORY,,14
COLORADO,08,EAGLE,037,HOGS,HOGS - OPERATIONS WITH SALES,,4
COLORADO,08,EAGLE,037,HOGS,"HOGS - SALES, MEASURED IN HEAD",,30
COLORADO,08,EAGLE,037,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,6
COLORADO,08,EAGLE,037,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"9,432"
COLORADO,08,EAGLE,037,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,29
COLORADO,08,EAGLE,037,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,823
COLORADO,08,EAGLE,037,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,6
COLORADO,08,EAGLE,037,WHEAT,WHEAT - ACRES HARVESTED,,960
COLORADO,08,EAGLE,037,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"8,640"
COLORADO,08,EAGLE,037,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,6
COLORADO,08,EAGLE,037,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,960
COLORADO,08,EAGLE,037,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"8,640"
COLORADO,08,EAGLE,037,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,147
COLORADO,08,EAGLE,037,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"11,393"
COLORADO,08,EAGLE,037,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"15,786"
COLORADO,08,EAGLE,037,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,6
COLORADO,08,EAGLE,037,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,5
COLORADO,08,EAGLE,037,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,6
COLORADO,08,EAGLE,037,POTATOES,POTATOES - ACRES HARVESTED,,2
COLORADO,08,EAGLE,037,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,1
COLORADO,08,EAGLE,037,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
COLORADO,08,EAGLE,037,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,257
