state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,345"
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),188
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),424
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),368
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),149
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),74
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",142
COLORADO,08,EL PASO,041,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"630,033"
COLORADO,08,EL PASO,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,468
COLORADO,08,EL PASO,041,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,75
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"659,073"
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,407"
COLORADO,08,EL PASO,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"62,265,000"
COLORADO,08,EL PASO,041,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"46,294"
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,443
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, CROPLAND - ACRES",,"51,531"
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,232
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"18,121"
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,126
COLORADO,08,EL PASO,041,AG LAND,"AG LAND, IRRIGATED - ACRES",,"8,922"
COLORADO,08,EL PASO,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"31,898,000"
COLORADO,08,EL PASO,041,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"23,716"
COLORADO,08,EL PASO,041,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"13,803,000"
COLORADO,08,EL PASO,041,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"18,095,000"
COLORADO,08,EL PASO,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,EL PASO,041,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",795
