state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,632"
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),171
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),534
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),502
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),167
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),86
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",172
COLORADO,08,ELBERT,039,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,018,461"
COLORADO,08,ELBERT,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,624
COLORADO,08,ELBERT,039,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,60
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"952,293"
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,526"
COLORADO,08,ELBERT,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"99,851,000"
COLORADO,08,ELBERT,039,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"61,221"
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,665
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, CROPLAND - ACRES",,"189,920"
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,408
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"77,935"
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,103
COLORADO,08,ELBERT,039,AG LAND,"AG LAND, IRRIGATED - ACRES",,"6,690"
COLORADO,08,ELBERT,039,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"35,373,000"
COLORADO,08,ELBERT,039,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"21,675"
COLORADO,08,ELBERT,039,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"7,511,000"
COLORADO,08,ELBERT,039,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"27,862,000"
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",917
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",159
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",198
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",161
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",77
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",45
COLORADO,08,ELBERT,039,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",75
COLORADO,08,ELBERT,039,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,194
COLORADO,08,ELBERT,039,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"3,286,000"
COLORADO,08,ELBERT,039,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,466
COLORADO,08,ELBERT,039,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,654,000"
COLORADO,08,ELBERT,039,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"58,412,000"
COLORADO,08,ELBERT,039,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"35,792"
COLORADO,08,ELBERT,039,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"1,632"
COLORADO,08,ELBERT,039,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-13,098,000"
COLORADO,08,ELBERT,039,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-8,026"
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,815
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"40,779"
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,665
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"24,785"
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,25
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,41
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,622
COLORADO,08,ELBERT,039,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"28,704"
COLORADO,08,ELBERT,039,HOGS,HOGS - OPERATIONS WITH INVENTORY,,59
COLORADO,08,ELBERT,039,HOGS,HOGS - INVENTORY,,407
COLORADO,08,ELBERT,039,HOGS,HOGS - OPERATIONS WITH SALES,,56
COLORADO,08,ELBERT,039,HOGS,"HOGS - SALES, MEASURED IN HEAD",,680
COLORADO,08,ELBERT,039,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,90
COLORADO,08,ELBERT,039,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,582"
COLORADO,08,ELBERT,039,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,329
COLORADO,08,ELBERT,039,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"6,252"
COLORADO,08,ELBERT,039,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,12
COLORADO,08,ELBERT,039,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"1,512"
COLORADO,08,ELBERT,039,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,16
COLORADO,08,ELBERT,039,CORN,"CORN, GRAIN - ACRES HARVESTED",,"7,484"
COLORADO,08,ELBERT,039,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"505,528"
COLORADO,08,ELBERT,039,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,34
COLORADO,08,ELBERT,039,WHEAT,WHEAT - ACRES HARVESTED,,"22,094"
COLORADO,08,ELBERT,039,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"603,510"
COLORADO,08,ELBERT,039,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,34
COLORADO,08,ELBERT,039,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"22,094"
COLORADO,08,ELBERT,039,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"603,510"
COLORADO,08,ELBERT,039,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,3
COLORADO,08,ELBERT,039,OATS,OATS - ACRES HARVESTED,,184
COLORADO,08,ELBERT,039,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"8,206"
COLORADO,08,ELBERT,039,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,9
COLORADO,08,ELBERT,039,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,"5,804"
COLORADO,08,ELBERT,039,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"175,124"
COLORADO,08,ELBERT,039,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,7
COLORADO,08,ELBERT,039,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,775
