state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,034"
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),403
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),346
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),129
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),57
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),29
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",70
COLORADO,08,FREMONT,043,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"278,093"
COLORADO,08,FREMONT,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,269
COLORADO,08,FREMONT,043,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,12
COLORADO,08,FREMONT,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"628,195"
COLORADO,08,FREMONT,043,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,336"
COLORADO,08,FREMONT,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"49,739,000"
COLORADO,08,FREMONT,043,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"48,150"
COLORADO,08,FREMONT,043,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,633
COLORADO,08,FREMONT,043,AG LAND,"AG LAND, CROPLAND - ACRES",,"15,097"
COLORADO,08,FREMONT,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,565
COLORADO,08,FREMONT,043,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"9,668"
COLORADO,08,FREMONT,043,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,616
