state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,661
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),78
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),249
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),131
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),74
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),42
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",87
COLORADO,08,GARFIELD,045,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"475,166"
COLORADO,08,GARFIELD,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,719
COLORADO,08,GARFIELD,045,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,50
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,724,785"
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,399"
COLORADO,08,GARFIELD,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"59,117,000"
COLORADO,08,GARFIELD,045,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"89,572"
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,496
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, CROPLAND - ACRES",,"77,405"
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,421
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"41,885"
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,500
COLORADO,08,GARFIELD,045,AG LAND,"AG LAND, IRRIGATED - ACRES",,"51,961"
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"35,863,000"
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"54,255"
COLORADO,08,GARFIELD,045,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"8,786,000"
COLORADO,08,GARFIELD,045,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"27,077,000"
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",257
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",79
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",67
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",91
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",56
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",34
COLORADO,08,GARFIELD,045,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",77
COLORADO,08,GARFIELD,045,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,48
COLORADO,08,GARFIELD,045,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"360,000"
COLORADO,08,GARFIELD,045,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,190
COLORADO,08,GARFIELD,045,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"6,900,000"
COLORADO,08,GARFIELD,045,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"38,428,000"
COLORADO,08,GARFIELD,045,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"58,135"
COLORADO,08,GARFIELD,045,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,661
COLORADO,08,GARFIELD,045,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"4,696,000"
COLORADO,08,GARFIELD,045,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"7,104"
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,258
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"34,267"
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,234
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"18,993"
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,8
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,231
COLORADO,08,GARFIELD,045,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"22,468"
COLORADO,08,GARFIELD,045,HOGS,HOGS - OPERATIONS WITH INVENTORY,,17
COLORADO,08,GARFIELD,045,HOGS,HOGS - INVENTORY,,205
COLORADO,08,GARFIELD,045,HOGS,HOGS - OPERATIONS WITH SALES,,30
COLORADO,08,GARFIELD,045,HOGS,"HOGS - SALES, MEASURED IN HEAD",,243
