state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,GILPIN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,37
COLORADO,08,GILPIN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),4
COLORADO,08,GILPIN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),15
COLORADO,08,GILPIN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),12
COLORADO,08,GILPIN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),4
COLORADO,08,GILPIN,047,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),2
COLORADO,08,GILPIN,047,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"3,908"
COLORADO,08,GILPIN,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,106
COLORADO,08,GILPIN,047,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,46
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"446,403"
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,226"
COLORADO,08,GILPIN,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"1,256,000"
COLORADO,08,GILPIN,047,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"33,954"
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,14
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, CROPLAND - ACRES",,484
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,8
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,145
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,2
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, IRRIGATED - ACRES",,(D)
COLORADO,08,GILPIN,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"216,000"
COLORADO,08,GILPIN,047,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"5,842"
COLORADO,08,GILPIN,047,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"37,000"
COLORADO,08,GILPIN,047,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"179,000"
COLORADO,08,GILPIN,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,GILPIN,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",24
COLORADO,08,GILPIN,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",2
COLORADO,08,GILPIN,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",4
COLORADO,08,GILPIN,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",6
COLORADO,08,GILPIN,047,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",1
COLORADO,08,GILPIN,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,6
COLORADO,08,GILPIN,047,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"28,000"
COLORADO,08,GILPIN,047,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,9
COLORADO,08,GILPIN,047,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"568,000"
COLORADO,08,GILPIN,047,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"606,000"
COLORADO,08,GILPIN,047,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"16,382"
COLORADO,08,GILPIN,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,37
COLORADO,08,GILPIN,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"207,000"
COLORADO,08,GILPIN,047,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"5,583"
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,7
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,(D)
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,5
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,47
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,9
COLORADO,08,GILPIN,047,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,154
COLORADO,08,GILPIN,047,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,2
COLORADO,08,GILPIN,047,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,(D)
COLORADO,08,GILPIN,047,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,3
COLORADO,08,GILPIN,047,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,42
COLORADO,08,GILPIN,047,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,6
COLORADO,08,GILPIN,047,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,142
COLORADO,08,GILPIN,047,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,567
COLORADO,08,GILPIN,047,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,GILPIN,047,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
COLORADO,08,GILPIN,047,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,1
COLORADO,08,GILPIN,047,POTATOES,POTATOES - ACRES HARVESTED,,(D)
COLORADO,08,GILPIN,047,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,37
