state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,290
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),22
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),117
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),58
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),42
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),13
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",38
COLORADO,08,GRAND,049,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"240,980"
COLORADO,08,GRAND,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,831
COLORADO,08,GRAND,049,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,60
COLORADO,08,GRAND,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,827,034"
COLORADO,08,GRAND,049,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,199"
COLORADO,08,GRAND,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"26,852,000"
COLORADO,08,GRAND,049,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"92,591"
COLORADO,08,GRAND,049,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,196
COLORADO,08,GRAND,049,AG LAND,"AG LAND, CROPLAND - ACRES",,"36,525"
COLORADO,08,GRAND,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,156
COLORADO,08,GRAND,049,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"30,952"
COLORADO,08,GRAND,049,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,174
COLORADO,08,GRAND,049,AG LAND,"AG LAND, IRRIGATED - ACRES",,"36,290"
COLORADO,08,GRAND,049,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"14,440,000"
COLORADO,08,GRAND,049,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"49,792"
COLORADO,08,GRAND,049,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,388,000"
COLORADO,08,GRAND,049,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"11,052,000"
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",154
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",21
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",19
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",21
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",18
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",21
COLORADO,08,GRAND,049,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",36
COLORADO,08,GRAND,049,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,5
COLORADO,08,GRAND,049,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"30,000"
COLORADO,08,GRAND,049,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,120
COLORADO,08,GRAND,049,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"4,422,000"
COLORADO,08,GRAND,049,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"17,237,000"
COLORADO,08,GRAND,049,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"59,439"
COLORADO,08,GRAND,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,290
COLORADO,08,GRAND,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"1,655,000"
COLORADO,08,GRAND,049,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"5,707"
COLORADO,08,GRAND,049,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,126
COLORADO,08,GRAND,049,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"17,031"
COLORADO,08,GRAND,049,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,102
COLORADO,08,GRAND,049,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"10,699"
COLORADO,08,GRAND,049,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
COLORADO,08,GRAND,049,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,8
COLORADO,08,GRAND,049,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,94
COLORADO,08,GRAND,049,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"12,592"
COLORADO,08,GRAND,049,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
COLORADO,08,GRAND,049,HOGS,HOGS - INVENTORY,,15
COLORADO,08,GRAND,049,HOGS,HOGS - OPERATIONS WITH SALES,,9
COLORADO,08,GRAND,049,HOGS,"HOGS - SALES, MEASURED IN HEAD",,26
COLORADO,08,GRAND,049,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,7
COLORADO,08,GRAND,049,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,111
COLORADO,08,GRAND,049,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,39
COLORADO,08,GRAND,049,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,773
COLORADO,08,GRAND,049,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,1
COLORADO,08,GRAND,049,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
COLORADO,08,GRAND,049,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,152
COLORADO,08,GRAND,049,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"30,932"
COLORADO,08,GRAND,049,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"46,758"
COLORADO,08,GRAND,049,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,GRAND,049,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
COLORADO,08,GRAND,049,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,290
