state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,309
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),35
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),90
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),53
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),40
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),35
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",56
COLORADO,08,GUNNISON,051,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"266,922"
COLORADO,08,GUNNISON,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,864
COLORADO,08,GUNNISON,051,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,120
COLORADO,08,GUNNISON,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,217,820"
COLORADO,08,GUNNISON,051,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,567"
COLORADO,08,GUNNISON,051,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"33,278,000"
