state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,HINSDALE,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,26
COLORADO,08,HINSDALE,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),2
COLORADO,08,HINSDALE,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),16
COLORADO,08,HINSDALE,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),2
COLORADO,08,HINSDALE,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),2
COLORADO,08,HINSDALE,053,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",4
COLORADO,08,HINSDALE,053,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"10,478"
COLORADO,08,HINSDALE,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,403
COLORADO,08,HINSDALE,053,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,120
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"741,831"
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,841"
COLORADO,08,HINSDALE,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"1,824,000"
COLORADO,08,HINSDALE,053,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"70,145"
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,15
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, CROPLAND - ACRES",,"1,067"
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,15
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,947
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,20
COLORADO,08,HINSDALE,053,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,461"
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"261,000"
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"10,052"
COLORADO,08,HINSDALE,053,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,(D)
COLORADO,08,HINSDALE,053,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,(D)
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",17
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",2
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",2
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",1
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",2
COLORADO,08,HINSDALE,053,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",2
COLORADO,08,HINSDALE,053,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,1
COLORADO,08,HINSDALE,053,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,(D)
COLORADO,08,HINSDALE,053,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,8
COLORADO,08,HINSDALE,053,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"101,000"
COLORADO,08,HINSDALE,053,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"557,000"
