state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,131
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),15
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),15
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),32
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),15
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",49
COLORADO,08,JACKSON,057,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"301,474"
COLORADO,08,JACKSON,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,301"
COLORADO,08,JACKSON,057,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,430
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,045,594"
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,323"
COLORADO,08,JACKSON,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"25,712,000"
COLORADO,08,JACKSON,057,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"196,274"
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,76
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, CROPLAND - ACRES",,"67,437"
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,73
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"61,097"
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,88
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, IRRIGATED - ACRES",,"70,448"
COLORADO,08,JACKSON,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"24,487,000"
COLORADO,08,JACKSON,057,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"186,923"
COLORADO,08,JACKSON,057,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"4,530,000"
COLORADO,08,JACKSON,057,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"19,957,000"
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",47
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",13
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",5
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",3
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",4
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",11
COLORADO,08,JACKSON,057,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",48
COLORADO,08,JACKSON,057,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,9
COLORADO,08,JACKSON,057,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"35,000"
COLORADO,08,JACKSON,057,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,63
COLORADO,08,JACKSON,057,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"3,477,000"
COLORADO,08,JACKSON,057,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"18,681,000"
COLORADO,08,JACKSON,057,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"142,600"
COLORADO,08,JACKSON,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,131
COLORADO,08,JACKSON,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"9,319,000"
COLORADO,08,JACKSON,057,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"71,134"
COLORADO,08,JACKSON,057,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,59
COLORADO,08,JACKSON,057,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"22,758"
COLORADO,08,JACKSON,057,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,50
COLORADO,08,JACKSON,057,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"14,207"
COLORADO,08,JACKSON,057,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,57
COLORADO,08,JACKSON,057,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"20,455"
COLORADO,08,JACKSON,057,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,7
COLORADO,08,JACKSON,057,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,(D)
COLORADO,08,JACKSON,057,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,16
COLORADO,08,JACKSON,057,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,205
COLORADO,08,JACKSON,057,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,JACKSON,057,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
COLORADO,08,JACKSON,057,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
COLORADO,08,JACKSON,057,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,JACKSON,057,CORN,"CORN, SILAGE - ACRES HARVESTED",,(D)
COLORADO,08,JACKSON,057,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
COLORADO,08,JACKSON,057,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,71
COLORADO,08,JACKSON,057,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"60,927"
COLORADO,08,JACKSON,057,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"69,820"
COLORADO,08,JACKSON,057,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,JACKSON,057,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
COLORADO,08,JACKSON,057,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,1
COLORADO,08,JACKSON,057,POTATOES,POTATOES - ACRES HARVESTED,,(D)
COLORADO,08,JACKSON,057,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,131
