state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,388
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),7
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),5
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),69
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),65
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),55
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",187
COLORADO,08,KIOWA,061,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,091,807"
COLORADO,08,KIOWA,061,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,814"
COLORADO,08,KIOWA,061,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,895
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,122,946"
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,754
COLORADO,08,KIOWA,061,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"63,184,000"
COLORADO,08,KIOWA,061,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"162,846"
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,315
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, CROPLAND - ACRES",,"676,329"
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,167
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,(D)
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,21
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,740"
COLORADO,08,KIOWA,061,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"65,468,000"
COLORADO,08,KIOWA,061,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"168,731"
COLORADO,08,KIOWA,061,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"40,491,000"
COLORADO,08,KIOWA,061,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"24,976,000"
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",172
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",10
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",9
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",25
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",51
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",25
COLORADO,08,KIOWA,061,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",96
COLORADO,08,KIOWA,061,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,318
COLORADO,08,KIOWA,061,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"10,450,000"
COLORADO,08,KIOWA,061,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,188
COLORADO,08,KIOWA,061,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"5,753,000"
COLORADO,08,KIOWA,061,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"60,496,000"
COLORADO,08,KIOWA,061,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"155,917"
COLORADO,08,KIOWA,061,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,388
COLORADO,08,KIOWA,061,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"21,175,000"
COLORADO,08,KIOWA,061,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"54,575"
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,114
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"17,980"
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,109
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"10,371"
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,10
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,109
COLORADO,08,KIOWA,061,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"13,153"
COLORADO,08,KIOWA,061,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
COLORADO,08,KIOWA,061,HOGS,HOGS - INVENTORY,,(D)
COLORADO,08,KIOWA,061,HOGS,HOGS - OPERATIONS WITH SALES,,3
COLORADO,08,KIOWA,061,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
COLORADO,08,KIOWA,061,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,6
COLORADO,08,KIOWA,061,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,126
COLORADO,08,KIOWA,061,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,9
COLORADO,08,KIOWA,061,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,381
COLORADO,08,KIOWA,061,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,32
COLORADO,08,KIOWA,061,CORN,"CORN, GRAIN - ACRES HARVESTED",,"26,280"
COLORADO,08,KIOWA,061,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"2,261,313"
COLORADO,08,KIOWA,061,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,133
COLORADO,08,KIOWA,061,WHEAT,WHEAT - ACRES HARVESTED,,"168,831"
COLORADO,08,KIOWA,061,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"5,366,284"
COLORADO,08,KIOWA,061,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,133
COLORADO,08,KIOWA,061,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"168,831"
COLORADO,08,KIOWA,061,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"5,366,284"
COLORADO,08,KIOWA,061,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,59
COLORADO,08,KIOWA,061,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,"61,016"
COLORADO,08,KIOWA,061,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"2,949,838"
COLORADO,08,KIOWA,061,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,2
COLORADO,08,KIOWA,061,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,(D)
COLORADO,08,KIOWA,061,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
COLORADO,08,KIOWA,061,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,1
COLORADO,08,KIOWA,061,SOYBEANS,SOYBEANS - ACRES HARVESTED,,(D)
COLORADO,08,KIOWA,061,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,(D)
COLORADO,08,KIOWA,061,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,37
COLORADO,08,KIOWA,061,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"5,242"
COLORADO,08,KIOWA,061,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"9,673"
COLORADO,08,KIOWA,061,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,19
COLORADO,08,KIOWA,061,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"15,990"
COLORADO,08,KIOWA,061,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"18,439,447"
COLORADO,08,KIOWA,061,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,388
