state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,574
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),11
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),52
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),102
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),110
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),67
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",232
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,357,856"
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,366"
COLORADO,08,KIT CARSON,063,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,640
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,883,863"
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,219"
COLORADO,08,KIT CARSON,063,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"214,289,000"
COLORADO,08,KIT CARSON,063,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"375,287"
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,438
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, CROPLAND - ACRES",,"890,703"
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,317
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"497,533"
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,150
COLORADO,08,KIT CARSON,063,AG LAND,"AG LAND, IRRIGATED - ACRES",,"117,816"
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"474,278,000"
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"826,269"
COLORADO,08,KIT CARSON,063,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"153,440,000"
COLORADO,08,KIT CARSON,063,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"320,838,000"
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",190
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",16
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",23
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",33
COLORADO,08,KIT CARSON,063,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",56
