state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,093"
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),161
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),423
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),270
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),138
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),58
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",43
COLORADO,08,LA PLATA,067,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"549,241"
COLORADO,08,LA PLATA,067,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,503
COLORADO,08,LA PLATA,067,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,40
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,135,305"
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,259"
COLORADO,08,LA PLATA,067,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"81,503,000"
COLORADO,08,LA PLATA,067,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"74,568"
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,803
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, CROPLAND - ACRES",,"89,669"
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,634
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"39,672"
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,788
COLORADO,08,LA PLATA,067,AG LAND,"AG LAND, IRRIGATED - ACRES",,"58,522"
