state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,LAKE,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,33
COLORADO,08,LAKE,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),1
COLORADO,08,LAKE,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),13
COLORADO,08,LAKE,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),13
COLORADO,08,LAKE,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),4
COLORADO,08,LAKE,065,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",2
COLORADO,08,LAKE,065,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"11,946"
COLORADO,08,LAKE,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,362
COLORADO,08,LAKE,065,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,77
COLORADO,08,LAKE,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"743,849"
COLORADO,08,LAKE,065,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,055"
COLORADO,08,LAKE,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"1,550,000"
COLORADO,08,LAKE,065,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"46,972"
COLORADO,08,LAKE,065,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,8
COLORADO,08,LAKE,065,AG LAND,"AG LAND, CROPLAND - ACRES",,530
COLORADO,08,LAKE,065,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,8
COLORADO,08,LAKE,065,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,530
COLORADO,08,LAKE,065,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,13
COLORADO,08,LAKE,065,AG LAND,"AG LAND, IRRIGATED - ACRES",,"1,872"
COLORADO,08,LAKE,065,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"727,000"
COLORADO,08,LAKE,065,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"22,043"
COLORADO,08,LAKE,065,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,(D)
COLORADO,08,LAKE,065,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,(D)
COLORADO,08,LAKE,065,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,LAKE,065,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",16
COLORADO,08,LAKE,065,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",6
COLORADO,08,LAKE,065,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",2
COLORADO,08,LAKE,065,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",4
COLORADO,08,LAKE,065,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",2
COLORADO,08,LAKE,065,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",3
COLORADO,08,LAKE,065,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,16
COLORADO,08,LAKE,065,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"165,000"
COLORADO,08,LAKE,065,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"1,201,000"
COLORADO,08,LAKE,065,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"36,387"
COLORADO,08,LAKE,065,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,33
COLORADO,08,LAKE,065,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-309,000"
COLORADO,08,LAKE,065,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-9,355"
COLORADO,08,LAKE,065,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,19
COLORADO,08,LAKE,065,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,326
COLORADO,08,LAKE,065,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,15
COLORADO,08,LAKE,065,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,198
COLORADO,08,LAKE,065,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,13
COLORADO,08,LAKE,065,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,454
