state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"2,043"
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),502
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),949
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),302
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),148
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),53
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",89
COLORADO,08,LARIMER,069,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"482,456"
COLORADO,08,LARIMER,069,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,236
COLORADO,08,LARIMER,069,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,35
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,095,047"
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"4,637"
COLORADO,08,LARIMER,069,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"157,117,000"
COLORADO,08,LARIMER,069,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"76,905"
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"1,213"
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, CROPLAND - ACRES",,"98,639"
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,007"
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"66,092"
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,925
COLORADO,08,LARIMER,069,AG LAND,"AG LAND, IRRIGATED - ACRES",,"60,191"
COLORADO,08,LARIMER,069,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"150,717,000"
COLORADO,08,LARIMER,069,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"73,772"
COLORADO,08,LARIMER,069,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"68,874,000"
COLORADO,08,LARIMER,069,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"81,843,000"
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)","1,179"
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",236
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",194
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",171
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",92
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",58
COLORADO,08,LARIMER,069,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",113
COLORADO,08,LARIMER,069,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,112
COLORADO,08,LARIMER,069,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"633,000"
COLORADO,08,LARIMER,069,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,619
COLORADO,08,LARIMER,069,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"10,950,000"
COLORADO,08,LARIMER,069,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"150,951,000"
COLORADO,08,LARIMER,069,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"73,887"
COLORADO,08,LARIMER,069,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"2,043"
COLORADO,08,LARIMER,069,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"11,349,000"
COLORADO,08,LARIMER,069,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"5,555"
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,622
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"57,507"
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,496
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"16,048"
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,25
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,"10,199"
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,454
COLORADO,08,LARIMER,069,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"31,968"
COLORADO,08,LARIMER,069,HOGS,HOGS - OPERATIONS WITH INVENTORY,,84
COLORADO,08,LARIMER,069,HOGS,HOGS - INVENTORY,,584
COLORADO,08,LARIMER,069,HOGS,HOGS - OPERATIONS WITH SALES,,101
COLORADO,08,LARIMER,069,HOGS,"HOGS - SALES, MEASURED IN HEAD",,699
COLORADO,08,LARIMER,069,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,104
COLORADO,08,LARIMER,069,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"1,877"
COLORADO,08,LARIMER,069,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,417
COLORADO,08,LARIMER,069,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,"9,210"
COLORADO,08,LARIMER,069,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,26
COLORADO,08,LARIMER,069,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,"5,546"
COLORADO,08,LARIMER,069,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,39
COLORADO,08,LARIMER,069,CORN,"CORN, GRAIN - ACRES HARVESTED",,"8,713"
COLORADO,08,LARIMER,069,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"1,383,435"
COLORADO,08,LARIMER,069,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,42
COLORADO,08,LARIMER,069,CORN,"CORN, SILAGE - ACRES HARVESTED",,"7,557"
COLORADO,08,LARIMER,069,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"167,401"
COLORADO,08,LARIMER,069,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,28
COLORADO,08,LARIMER,069,WHEAT,WHEAT - ACRES HARVESTED,,"3,127"
COLORADO,08,LARIMER,069,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"179,550"
COLORADO,08,LARIMER,069,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,28
COLORADO,08,LARIMER,069,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"3,127"
COLORADO,08,LARIMER,069,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"179,550"
COLORADO,08,LARIMER,069,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,1
COLORADO,08,LARIMER,069,OATS,OATS - ACRES HARVESTED,,(D)
COLORADO,08,LARIMER,069,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
COLORADO,08,LARIMER,069,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,6
COLORADO,08,LARIMER,069,BARLEY,BARLEY - ACRES HARVESTED,,813
COLORADO,08,LARIMER,069,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"107,098"
COLORADO,08,LARIMER,069,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,1
COLORADO,08,LARIMER,069,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,(D)
COLORADO,08,LARIMER,069,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,(D)
COLORADO,08,LARIMER,069,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,16
COLORADO,08,LARIMER,069,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"2,528"
