state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,549
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),97
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),98
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),69
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),70
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",207
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,796,248"
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,272"
COLORADO,08,LAS ANIMAS,071,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,520
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,968,541"
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,602
COLORADO,08,LAS ANIMAS,071,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"44,175,000"
COLORADO,08,LAS ANIMAS,071,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"80,465"
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,280
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, CROPLAND - ACRES",,"75,578"
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,210
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"25,731"
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,193
COLORADO,08,LAS ANIMAS,071,AG LAND,"AG LAND, IRRIGATED - ACRES",,"17,327"
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"25,847,000"
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"47,080"
COLORADO,08,LAS ANIMAS,071,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,791,000"
COLORADO,08,LAS ANIMAS,071,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"22,056,000"
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",198
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",47
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",41
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",90
COLORADO,08,LAS ANIMAS,071,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",44
