state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,489
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),18
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),23
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),67
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),72
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),57
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",252
COLORADO,08,LINCOLN,073,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,499,785"
COLORADO,08,LINCOLN,073,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"3,067"
COLORADO,08,LINCOLN,073,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,135"
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,158,581"
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,704
COLORADO,08,LINCOLN,073,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"98,250,000"
COLORADO,08,LINCOLN,073,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"200,920"
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,316
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, CROPLAND - ACRES",,"588,312"
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,184
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,(D)
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,31
COLORADO,08,LINCOLN,073,AG LAND,"AG LAND, IRRIGATED - ACRES",,"5,804"
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"67,900,000"
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"138,854"
COLORADO,08,LINCOLN,073,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"39,999,000"
COLORADO,08,LINCOLN,073,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"27,901,000"
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",185
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",10
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",29
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",36
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",24
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",58
COLORADO,08,LINCOLN,073,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",147
COLORADO,08,LINCOLN,073,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,302
COLORADO,08,LINCOLN,073,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"10,318,000"
COLORADO,08,LINCOLN,073,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,258
COLORADO,08,LINCOLN,073,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"4,861,000"
COLORADO,08,LINCOLN,073,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"59,719,000"
