state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,861
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),33
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),110
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),190
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),135
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),108
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",285
COLORADO,08,LOGAN,075,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,138,144"
COLORADO,08,LOGAN,075,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,322"
COLORADO,08,LOGAN,075,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,402
COLORADO,08,LOGAN,075,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,570,536"
COLORADO,08,LOGAN,075,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,188"
COLORADO,08,LOGAN,075,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"179,729,000"
COLORADO,08,LOGAN,075,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"208,745"
COLORADO,08,LOGAN,075,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,637
COLORADO,08,LOGAN,075,AG LAND,"AG LAND, CROPLAND - ACRES",,"562,650"
COLORADO,08,LOGAN,075,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,471
