state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"2,465"
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),"1,098"
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),876
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),268
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),92
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),68
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",63
COLORADO,08,MESA,077,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"342,534"
COLORADO,08,MESA,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,139
COLORADO,08,MESA,077,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,10
COLORADO,08,MESA,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"767,492"
COLORADO,08,MESA,077,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"5,523"
COLORADO,08,MESA,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"141,120,000"
COLORADO,08,MESA,077,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"57,249"
COLORADO,08,MESA,077,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"1,916"
COLORADO,08,MESA,077,AG LAND,"AG LAND, CROPLAND - ACRES",,"79,815"
COLORADO,08,MESA,077,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,750"
COLORADO,08,MESA,077,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"50,065"
COLORADO,08,MESA,077,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,"2,025"
COLORADO,08,MESA,077,AG LAND,"AG LAND, IRRIGATED - ACRES",,"76,221"
COLORADO,08,MESA,077,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"94,186,000"
COLORADO,08,MESA,077,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"38,209"
COLORADO,08,MESA,077,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"45,915,000"
COLORADO,08,MESA,077,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"48,271,000"
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)","1,434"
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",289
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",215
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",212
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",117
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",67
COLORADO,08,MESA,077,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",131
COLORADO,08,MESA,077,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,97
COLORADO,08,MESA,077,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"730,000"
COLORADO,08,MESA,077,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,679
COLORADO,08,MESA,077,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"5,062,000"
COLORADO,08,MESA,077,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"86,090,000"
COLORADO,08,MESA,077,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"34,925"
COLORADO,08,MESA,077,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,"2,465"
COLORADO,08,MESA,077,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"13,889,000"
COLORADO,08,MESA,077,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"5,634"
COLORADO,08,MESA,077,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,810
COLORADO,08,MESA,077,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"46,952"
COLORADO,08,MESA,077,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,648
COLORADO,08,MESA,077,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"29,806"
COLORADO,08,MESA,077,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,31
COLORADO,08,MESA,077,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,537
COLORADO,08,MESA,077,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,569
COLORADO,08,MESA,077,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"28,255"
COLORADO,08,MESA,077,HOGS,HOGS - OPERATIONS WITH INVENTORY,,86
COLORADO,08,MESA,077,HOGS,HOGS - INVENTORY,,444
COLORADO,08,MESA,077,HOGS,HOGS - OPERATIONS WITH SALES,,88
COLORADO,08,MESA,077,HOGS,"HOGS - SALES, MEASURED IN HEAD",,"1,196"
COLORADO,08,MESA,077,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,141
COLORADO,08,MESA,077,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"18,634"
COLORADO,08,MESA,077,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,537
COLORADO,08,MESA,077,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
COLORADO,08,MESA,077,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,6
COLORADO,08,MESA,077,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,71
COLORADO,08,MESA,077,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,60
COLORADO,08,MESA,077,CORN,"CORN, GRAIN - ACRES HARVESTED",,"5,111"
COLORADO,08,MESA,077,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"1,006,529"
COLORADO,08,MESA,077,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,36
COLORADO,08,MESA,077,CORN,"CORN, SILAGE - ACRES HARVESTED",,"1,589"
