state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,MINERAL,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,19
COLORADO,08,MINERAL,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),9
COLORADO,08,MINERAL,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),5
COLORADO,08,MINERAL,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),1
COLORADO,08,MINERAL,079,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",4
COLORADO,08,MINERAL,079,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"8,428"
COLORADO,08,MINERAL,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,444
COLORADO,08,MINERAL,079,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,240
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,526,408"
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,441"
COLORADO,08,MINERAL,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"595,000"
COLORADO,08,MINERAL,079,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"31,306"
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,8
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, CROPLAND - ACRES",,742
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,4
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,(D)
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,8
COLORADO,08,MINERAL,079,AG LAND,"AG LAND, IRRIGATED - ACRES",,"2,887"
COLORADO,08,MINERAL,079,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,(D)
