state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,462
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),13
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),100
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),105
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),64
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),50
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",130
COLORADO,08,MOFFAT,081,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"953,100"
COLORADO,08,MOFFAT,081,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,063"
COLORADO,08,MOFFAT,081,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,232
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,648,562"
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,799
COLORADO,08,MOFFAT,081,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"49,668,000"
COLORADO,08,MOFFAT,081,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"107,741"
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,322
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, CROPLAND - ACRES",,"123,447"
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,227
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"48,941"
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,129
COLORADO,08,MOFFAT,081,AG LAND,"AG LAND, IRRIGATED - ACRES",,"30,141"
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"33,138,000"
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"71,728"
COLORADO,08,MOFFAT,081,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"3,861,000"
COLORADO,08,MOFFAT,081,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"29,277,000"
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",218
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",36
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",31
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",43
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",27
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",31
COLORADO,08,MOFFAT,081,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",76
COLORADO,08,MOFFAT,081,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,122
COLORADO,08,MOFFAT,081,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,109,000"
COLORADO,08,MOFFAT,081,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,149
COLORADO,08,MOFFAT,081,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,690,000"
COLORADO,08,MOFFAT,081,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"28,720,000"
COLORADO,08,MOFFAT,081,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"62,165"
COLORADO,08,MOFFAT,081,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,462
COLORADO,08,MOFFAT,081,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"9,217,000"
COLORADO,08,MOFFAT,081,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"19,950"
COLORADO,08,MOFFAT,081,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,196
COLORADO,08,MOFFAT,081,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"34,663"
COLORADO,08,MOFFAT,081,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,172
COLORADO,08,MOFFAT,081,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"23,712"
