state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,123"
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),188
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),364
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),303
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),139
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),63
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",66
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"690,788"
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,615
COLORADO,08,MONTEZUMA,083,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,50
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"744,860"
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,211"
COLORADO,08,MONTEZUMA,083,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"95,598,000"
COLORADO,08,MONTEZUMA,083,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"85,128"
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,796
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, CROPLAND - ACRES",,"117,243"
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,620
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"76,013"
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,822
COLORADO,08,MONTEZUMA,083,AG LAND,"AG LAND, IRRIGATED - ACRES",,"79,029"
COLORADO,08,MONTEZUMA,083,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"46,424,000"
COLORADO,08,MONTEZUMA,083,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"41,340"
COLORADO,08,MONTEZUMA,083,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"29,848,000"
