state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"1,135"
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),218
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),416
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),275
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),129
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),28
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",69
COLORADO,08,MONTROSE,085,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"330,523"
COLORADO,08,MONTROSE,085,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,291
COLORADO,08,MONTROSE,085,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,40
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"900,826"
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,093"
COLORADO,08,MONTROSE,085,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"90,708,000"
COLORADO,08,MONTROSE,085,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"79,919"
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,832
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, CROPLAND - ACRES",,"65,605"
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,754
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"45,940"
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,954
COLORADO,08,MONTROSE,085,AG LAND,"AG LAND, IRRIGATED - ACRES",,"79,821"
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"81,226,000"
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"71,565"
COLORADO,08,MONTROSE,085,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"18,468,000"
COLORADO,08,MONTROSE,085,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"62,758,000"
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",479
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",126
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",118
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",143
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",84
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",69
COLORADO,08,MONTROSE,085,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",116
COLORADO,08,MONTROSE,085,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,116
