state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,740
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),96
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),114
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),138
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),138
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),110
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",144
COLORADO,08,MORGAN,087,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"659,366"
COLORADO,08,MORGAN,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,891
COLORADO,08,MORGAN,087,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,230
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,546,382"
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,735"
COLORADO,08,MORGAN,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"178,613,000"
COLORADO,08,MORGAN,087,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"241,369"
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,547
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, CROPLAND - ACRES",,"340,373"
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,407
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"207,058"
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,329
COLORADO,08,MORGAN,087,AG LAND,"AG LAND, IRRIGATED - ACRES",,"132,296"
COLORADO,08,MORGAN,087,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"559,535,000"
COLORADO,08,MORGAN,087,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"756,128"
COLORADO,08,MORGAN,087,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"89,981,000"
COLORADO,08,MORGAN,087,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"469,555,000"
COLORADO,08,MORGAN,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,MORGAN,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",228
COLORADO,08,MORGAN,087,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",49
