state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,444
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),40
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),95
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),131
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),59
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),44
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",75
COLORADO,08,OTERO,089,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"687,530"
COLORADO,08,OTERO,089,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,548"
COLORADO,08,OTERO,089,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,120
COLORADO,08,OTERO,089,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,162,135"
COLORADO,08,OTERO,089,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,750
COLORADO,08,OTERO,089,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"65,881,000"
