state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,122
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),18
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),50
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),22
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),11
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),9
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",12
COLORADO,08,OURAY,091,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"85,105"
COLORADO,08,OURAY,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,698
COLORADO,08,OURAY,091,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,47
COLORADO,08,OURAY,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,130,534"
COLORADO,08,OURAY,091,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,054"
COLORADO,08,OURAY,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"10,852,000"
COLORADO,08,OURAY,091,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"88,951"
