state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,278
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),18
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),66
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),79
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),59
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),16
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",40
COLORADO,08,PARK,093,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"189,110"
COLORADO,08,PARK,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,680
COLORADO,08,PARK,093,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,119
COLORADO,08,PARK,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,142,769"
COLORADO,08,PARK,093,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,680"
COLORADO,08,PARK,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"15,349,000"
COLORADO,08,PARK,093,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"55,212"
COLORADO,08,PARK,093,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,82
COLORADO,08,PARK,093,AG LAND,"AG LAND, CROPLAND - ACRES",,"11,163"
COLORADO,08,PARK,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,75
COLORADO,08,PARK,093,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"6,934"
COLORADO,08,PARK,093,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,62
COLORADO,08,PARK,093,AG LAND,"AG LAND, IRRIGATED - ACRES",,"12,040"
COLORADO,08,PARK,093,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"5,107,000"
COLORADO,08,PARK,093,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"18,371"
COLORADO,08,PARK,093,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"383,000"
COLORADO,08,PARK,093,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"4,725,000"
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",153
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",40
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",25
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",18
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",12
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",20
COLORADO,08,PARK,093,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",10
COLORADO,08,PARK,093,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,7
COLORADO,08,PARK,093,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"26,000"
COLORADO,08,PARK,093,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,92
COLORADO,08,PARK,093,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"1,472,000"
