state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,326
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),22
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),68
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),54
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),37
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",130
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"439,213"
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,347"
COLORADO,08,PHILLIPS,095,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,530
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,279,496"
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,692"
COLORADO,08,PHILLIPS,095,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"105,641,000"
COLORADO,08,PHILLIPS,095,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"324,052"
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,280
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, CROPLAND - ACRES",,"384,426"
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,224
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"248,339"
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,109
COLORADO,08,PHILLIPS,095,AG LAND,"AG LAND, IRRIGATED - ACRES",,"79,278"
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"174,241,000"
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"534,481"
COLORADO,08,PHILLIPS,095,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"87,942,000"
COLORADO,08,PHILLIPS,095,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"86,298,000"
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",60
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",18
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",12
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",28
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",38
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",33
COLORADO,08,PHILLIPS,095,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",137
COLORADO,08,PHILLIPS,095,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,259
COLORADO,08,PHILLIPS,095,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"8,706,000"
COLORADO,08,PHILLIPS,095,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,209
COLORADO,08,PHILLIPS,095,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"7,139,000"
COLORADO,08,PHILLIPS,095,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"153,525,000"
