state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,112
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),23
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),35
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),30
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),5
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),9
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",10
COLORADO,08,PITKIN,097,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"32,718"
COLORADO,08,PITKIN,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,292
COLORADO,08,PITKIN,097,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,37
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,225,232"
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"7,617"
COLORADO,08,PITKIN,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"9,884,000"
COLORADO,08,PITKIN,097,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"88,246"
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,72
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, CROPLAND - ACRES",,"5,902"
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,61
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"4,555"
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,79
COLORADO,08,PITKIN,097,AG LAND,"AG LAND, IRRIGATED - ACRES",,"10,082"
COLORADO,08,PITKIN,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"2,912,000"
COLORADO,08,PITKIN,097,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"25,996"
COLORADO,08,PITKIN,097,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"1,016,000"
COLORADO,08,PITKIN,097,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"1,896,000"
COLORADO,08,PITKIN,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,PITKIN,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",50
COLORADO,08,PITKIN,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",11
COLORADO,08,PITKIN,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",11
COLORADO,08,PITKIN,097,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",20
