state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,472
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),18
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),30
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),82
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),81
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),87
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",174
COLORADO,08,PROWERS,099,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,011,291"
COLORADO,08,PROWERS,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,143"
COLORADO,08,PROWERS,099,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,643
COLORADO,08,PROWERS,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,726,199"
COLORADO,08,PROWERS,099,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,806
COLORADO,08,PROWERS,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"104,214,000"
COLORADO,08,PROWERS,099,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"220,792"
COLORADO,08,PROWERS,099,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,392
COLORADO,08,PROWERS,099,AG LAND,"AG LAND, CROPLAND - ACRES",,"525,180"
