state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,839
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),163
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),187
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),207
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),105
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),58
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",119
COLORADO,08,PUEBLO,101,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"895,508"
COLORADO,08,PUEBLO,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,067"
COLORADO,08,PUEBLO,101,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,80
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,097,156"
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,028"
COLORADO,08,PUEBLO,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"63,659,000"
COLORADO,08,PUEBLO,101,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"76,147"
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,427
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, CROPLAND - ACRES",,"72,025"
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,271
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"19,147"
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,260
COLORADO,08,PUEBLO,101,AG LAND,"AG LAND, IRRIGATED - ACRES",,"18,078"
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"52,047,000"
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"62,034"
COLORADO,08,PUEBLO,101,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"21,356,000"
COLORADO,08,PUEBLO,101,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"30,690,000"
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",485
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",67
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",80
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",55
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",43
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",27
COLORADO,08,PUEBLO,101,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",82
COLORADO,08,PUEBLO,101,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,117
COLORADO,08,PUEBLO,101,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,117,000"
COLORADO,08,PUEBLO,101,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,180
COLORADO,08,PUEBLO,101,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,030,000"
COLORADO,08,PUEBLO,101,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"50,810,000"
COLORADO,08,PUEBLO,101,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"60,560"
COLORADO,08,PUEBLO,101,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,839
