state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,321
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),25
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),64
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),75
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),66
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),39
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",52
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"177,452"
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,553
COLORADO,08,RIO GRANDE,105,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,164
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,726,626"
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,123"
COLORADO,08,RIO GRANDE,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"100,102,000"
COLORADO,08,RIO GRANDE,105,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"311,844"
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,238
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, CROPLAND - ACRES",,"109,145"
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,228
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"84,274"
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,242
COLORADO,08,RIO GRANDE,105,AG LAND,"AG LAND, IRRIGATED - ACRES",,"93,586"
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"98,956,000"
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"308,275"
COLORADO,08,RIO GRANDE,105,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"87,758,000"
COLORADO,08,RIO GRANDE,105,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"11,198,000"
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",78
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",29
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",20
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",25
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",24
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",27
COLORADO,08,RIO GRANDE,105,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",118
