state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,887
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),91
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),355
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),195
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),83
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),58
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",105
COLORADO,08,ROUTT,107,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"465,119"
COLORADO,08,ROUTT,107,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,524
COLORADO,08,ROUTT,107,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,49
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,647,039"
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"3,141"
COLORADO,08,ROUTT,107,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"61,505,000"
COLORADO,08,ROUTT,107,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"69,340"
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,708
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, CROPLAND - ACRES",,"80,958"
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,613
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"47,525"
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,338
COLORADO,08,ROUTT,107,AG LAND,"AG LAND, IRRIGATED - ACRES",,"42,745"
COLORADO,08,ROUTT,107,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"31,647,000"
COLORADO,08,ROUTT,107,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"35,679"
COLORADO,08,ROUTT,107,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"5,116,000"
COLORADO,08,ROUTT,107,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"26,531,000"
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",459
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",117
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",81
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",74
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",47
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",49
COLORADO,08,ROUTT,107,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",60
COLORADO,08,ROUTT,107,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,96
COLORADO,08,ROUTT,107,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"962,000"
COLORADO,08,ROUTT,107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,340
COLORADO,08,ROUTT,107,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"10,426,000"
COLORADO,08,ROUTT,107,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"45,424,000"
COLORADO,08,ROUTT,107,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"51,211"
COLORADO,08,ROUTT,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,887
COLORADO,08,ROUTT,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-2,389,000"
COLORADO,08,ROUTT,107,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-2,694"
