state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,288
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),25
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),43
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),64
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),36
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),47
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",73
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"313,811"
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,090"
COLORADO,08,SAGUACHE,109,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,280
COLORADO,08,SAGUACHE,109,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,068,512"
COLORADO,08,SAGUACHE,109,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,898"
COLORADO,08,SAGUACHE,109,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"63,005,000"
COLORADO,08,SAGUACHE,109,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"218,769"
COLORADO,08,SAGUACHE,109,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,172
