state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,133
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),9
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),31
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),25
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),34
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),11
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",23
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"136,062"
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,023"
COLORADO,08,SAN MIGUEL,113,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,185
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,524,124"
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,490"
COLORADO,08,SAN MIGUEL,113,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"10,513,000"
COLORADO,08,SAN MIGUEL,113,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"79,047"
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,83
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, CROPLAND - ACRES",,"14,259"
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,50
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"5,737"
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,83
COLORADO,08,SAN MIGUEL,113,AG LAND,"AG LAND, IRRIGATED - ACRES",,"15,918"
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"6,374,000"
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"47,923"
COLORADO,08,SAN MIGUEL,113,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"895,000"
COLORADO,08,SAN MIGUEL,113,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"5,479,000"
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",51
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",15
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",14
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",12
COLORADO,08,SAN MIGUEL,113,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",11
