state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,159
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),9
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),73
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),37
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),15
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),9
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",16
COLORADO,08,TELLER,119,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"71,366"
COLORADO,08,TELLER,119,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,449
COLORADO,08,TELLER,119,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,48
COLORADO,08,TELLER,119,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"908,034"
COLORADO,08,TELLER,119,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,023"
COLORADO,08,TELLER,119,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"6,439,000"
COLORADO,08,TELLER,119,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"40,497"
COLORADO,08,TELLER,119,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,48
COLORADO,08,TELLER,119,AG LAND,"AG LAND, CROPLAND - ACRES",,"5,573"
COLORADO,08,TELLER,119,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,39
COLORADO,08,TELLER,119,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"1,884"
COLORADO,08,TELLER,119,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,27
COLORADO,08,TELLER,119,AG LAND,"AG LAND, IRRIGATED - ACRES",,874
COLORADO,08,TELLER,119,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"1,242,000"
COLORADO,08,TELLER,119,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"7,812"
COLORADO,08,TELLER,119,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"151,000"
COLORADO,08,TELLER,119,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"1,091,000"
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",105
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",19
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",10
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",9
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",9
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",5
COLORADO,08,TELLER,119,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",2
COLORADO,08,TELLER,119,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,44
COLORADO,08,TELLER,119,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"433,000"
COLORADO,08,TELLER,119,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"3,263,000"
COLORADO,08,TELLER,119,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"20,520"
COLORADO,08,TELLER,119,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,159
COLORADO,08,TELLER,119,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"-1,587,000"
COLORADO,08,TELLER,119,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"-9,982"
COLORADO,08,TELLER,119,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,71
COLORADO,08,TELLER,119,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"2,425"
COLORADO,08,TELLER,119,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,58
COLORADO,08,TELLER,119,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"1,627"
COLORADO,08,TELLER,119,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,18
COLORADO,08,TELLER,119,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,27
COLORADO,08,TELLER,119,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,46
COLORADO,08,TELLER,119,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"1,111"
COLORADO,08,TELLER,119,HOGS,HOGS - OPERATIONS WITH INVENTORY,,1
COLORADO,08,TELLER,119,HOGS,HOGS - INVENTORY,,(D)
COLORADO,08,TELLER,119,HOGS,HOGS - OPERATIONS WITH SALES,,1
COLORADO,08,TELLER,119,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
COLORADO,08,TELLER,119,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,4
COLORADO,08,TELLER,119,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,42
COLORADO,08,TELLER,119,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,29
COLORADO,08,TELLER,119,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,378
COLORADO,08,TELLER,119,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,17
COLORADO,08,TELLER,119,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"1,643"
