state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,757
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),15
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),62
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),164
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),138
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),82
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",296
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,357,931"
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,794"
COLORADO,08,WASHINGTON,121,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,480
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,969,481"
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,098"
COLORADO,08,WASHINGTON,121,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"165,472,000"
COLORADO,08,WASHINGTON,121,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"221,219"
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,591
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, CROPLAND - ACRES",,"836,159"
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,390
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"473,869"
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,92
COLORADO,08,WASHINGTON,121,AG LAND,"AG LAND, IRRIGATED - ACRES",,"40,427"
COLORADO,08,WASHINGTON,121,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"184,558,000"
COLORADO,08,WASHINGTON,121,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"243,802"
COLORADO,08,WASHINGTON,121,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"94,001,000"
COLORADO,08,WASHINGTON,121,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"90,557,000"
COLORADO,08,WASHINGTON,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,WASHINGTON,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",269
COLORADO,08,WASHINGTON,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",41
COLORADO,08,WASHINGTON,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",33
COLORADO,08,WASHINGTON,121,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",65
