state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"4,062"
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),822
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),"1,059"
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),"1,026"
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),470
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),269
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",416
COLORADO,08,WELD,123,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,098,803"
COLORADO,08,WELD,123,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,517
COLORADO,08,WELD,123,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,66
COLORADO,08,WELD,123,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,335,953"
COLORADO,08,WELD,123,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"2,586"
COLORADO,08,WELD,123,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"648,553,000"
COLORADO,08,WELD,123,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"159,664"
COLORADO,08,WELD,123,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,"2,491"
COLORADO,08,WELD,123,AG LAND,"AG LAND, CROPLAND - ACRES",,"922,979"
COLORADO,08,WELD,123,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,"1,853"
COLORADO,08,WELD,123,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"477,839"
COLORADO,08,WELD,123,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,"1,557"
COLORADO,08,WELD,123,AG LAND,"AG LAND, IRRIGATED - ACRES",,"323,436"
COLORADO,08,WELD,123,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"2,047,177,000"
COLORADO,08,WELD,123,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"503,982"
COLORADO,08,WELD,123,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"348,647,000"
COLORADO,08,WELD,123,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"1,698,529,000"
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)","1,914"
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",292
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",343
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",364
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",257
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",237
COLORADO,08,WELD,123,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",655
COLORADO,08,WELD,123,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,"1,057"
