state,state fips,county,county code,commodity,data item,domain category,value
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,774
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),32
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),92
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),90
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),127
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),104
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",329
COLORADO,08,YUMA,125,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,400,296"
COLORADO,08,YUMA,125,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,809"
COLORADO,08,YUMA,125,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,640
COLORADO,08,YUMA,125,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,953,997"
COLORADO,08,YUMA,125,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,633"
COLORADO,08,YUMA,125,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"242,404,000"
COLORADO,08,YUMA,125,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"313,588"
COLORADO,08,YUMA,125,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,534
COLORADO,08,YUMA,125,AG LAND,"AG LAND, CROPLAND - ACRES",,"628,161"
COLORADO,08,YUMA,125,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,365
COLORADO,08,YUMA,125,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"390,328"
COLORADO,08,YUMA,125,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,265
COLORADO,08,YUMA,125,AG LAND,"AG LAND, IRRIGATED - ACRES",,"208,967"
COLORADO,08,YUMA,125,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"918,716,000"
COLORADO,08,YUMA,125,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"1,186,971"
COLORADO,08,YUMA,125,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"199,821,000"
COLORADO,08,YUMA,125,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"718,895,000"
COLORADO,08,YUMA,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
COLORADO,08,YUMA,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",236
COLORADO,08,YUMA,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",28
COLORADO,08,YUMA,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",20
COLORADO,08,YUMA,125,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",49
