state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,494
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),72
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),130
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),81
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),49
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),14
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",148
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,233,811"
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,498"
MONTANA,30,BEAVERHEAD,001,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,115
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,290,191"
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,317"
MONTANA,30,BEAVERHEAD,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"99,378,000"
MONTANA,30,BEAVERHEAD,001,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"201,987"
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,303
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, CROPLAND - ACRES",,"162,767"
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,277
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"139,731"
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,347
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, IRRIGATED - ACRES",,"263,772"
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"118,202,000"
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"239,276"
MONTANA,30,BEAVERHEAD,001,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"37,220,000"
MONTANA,30,BEAVERHEAD,001,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"80,983,000"
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",166
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",34
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",51
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",27
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",42
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",49
MONTANA,30,BEAVERHEAD,001,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",125
MONTANA,30,BEAVERHEAD,001,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,42
MONTANA,30,BEAVERHEAD,001,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"577,000"
MONTANA,30,BEAVERHEAD,001,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,213
MONTANA,30,BEAVERHEAD,001,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"4,839,000"
MONTANA,30,BEAVERHEAD,001,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"95,350,000"
MONTANA,30,BEAVERHEAD,001,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"193,017"
MONTANA,30,BEAVERHEAD,001,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,494
MONTANA,30,BEAVERHEAD,001,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"28,268,000"
MONTANA,30,BEAVERHEAD,001,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"57,223"
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,238
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"126,752"
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,223
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,"71,880"
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,4
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,10
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,243
MONTANA,30,BEAVERHEAD,001,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"76,312"
MONTANA,30,BEAVERHEAD,001,HOGS,HOGS - OPERATIONS WITH INVENTORY,,2
MONTANA,30,BEAVERHEAD,001,HOGS,HOGS - INVENTORY,,(D)
MONTANA,30,BEAVERHEAD,001,HOGS,HOGS - OPERATIONS WITH SALES,,8
MONTANA,30,BEAVERHEAD,001,HOGS,"HOGS - SALES, MEASURED IN HEAD",,49
MONTANA,30,BEAVERHEAD,001,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,34
MONTANA,30,BEAVERHEAD,001,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"13,290"
MONTANA,30,BEAVERHEAD,001,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,70
MONTANA,30,BEAVERHEAD,001,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,773
MONTANA,30,BEAVERHEAD,001,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,1
MONTANA,30,BEAVERHEAD,001,CORN,"CORN, GRAIN - ACRES HARVESTED",,(D)
MONTANA,30,BEAVERHEAD,001,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,BEAVERHEAD,001,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,15
MONTANA,30,BEAVERHEAD,001,WHEAT,WHEAT - ACRES HARVESTED,,"8,162"
MONTANA,30,BEAVERHEAD,001,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"687,703"
MONTANA,30,BEAVERHEAD,001,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,15
MONTANA,30,BEAVERHEAD,001,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"8,162"
MONTANA,30,BEAVERHEAD,001,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"687,703"
MONTANA,30,BEAVERHEAD,001,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,22
MONTANA,30,BEAVERHEAD,001,BARLEY,BARLEY - ACRES HARVESTED,,"8,392"
MONTANA,30,BEAVERHEAD,001,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"920,100"
MONTANA,30,BEAVERHEAD,001,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,260
MONTANA,30,BEAVERHEAD,001,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"120,822"
MONTANA,30,BEAVERHEAD,001,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"330,404"
MONTANA,30,BEAVERHEAD,001,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,10
MONTANA,30,BEAVERHEAD,001,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,(D)
MONTANA,30,BEAVERHEAD,001,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,3
MONTANA,30,BEAVERHEAD,001,POTATOES,POTATOES - ACRES HARVESTED,,(D)
MONTANA,30,BEAVERHEAD,001,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,1
MONTANA,30,BEAVERHEAD,001,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,(D)
MONTANA,30,BEAVERHEAD,001,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,494
