state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,353
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),14
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),53
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),47
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),48
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),28
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",163
MONTANA,30,BIG HORN,003,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"3,188,139"
MONTANA,30,BIG HORN,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"9,032"
MONTANA,30,BIG HORN,003,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,721
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"3,546,651"
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,393
MONTANA,30,BIG HORN,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"77,057,000"
MONTANA,30,BIG HORN,003,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"218,911"
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,231
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, CROPLAND - ACRES",,"223,799"
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,208
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"141,866"
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,115
MONTANA,30,BIG HORN,003,AG LAND,"AG LAND, IRRIGATED - ACRES",,"44,093"
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"83,602,000"
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"236,832"
MONTANA,30,BIG HORN,003,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"33,001,000"
MONTANA,30,BIG HORN,003,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"50,601,000"
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",78
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",20
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",15
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",46
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",35
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",32
MONTANA,30,BIG HORN,003,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",127
MONTANA,30,BIG HORN,003,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,129
MONTANA,30,BIG HORN,003,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,444,000"
MONTANA,30,BIG HORN,003,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,163
