state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,491
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),16
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),21
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),63
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),81
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),61
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",249
MONTANA,30,BLAINE,005,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,040,127"
MONTANA,30,BLAINE,005,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,155"
MONTANA,30,BLAINE,005,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,000"
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,460,670"
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,592
MONTANA,30,BLAINE,005,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"104,471,000"
MONTANA,30,BLAINE,005,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"215,403"
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,374
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, CROPLAND - ACRES",,"599,000"
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,316
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"340,763"
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,175
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, IRRIGATED - ACRES",,"44,226"
MONTANA,30,BLAINE,005,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"89,977,000"
MONTANA,30,BLAINE,005,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"183,253"
MONTANA,30,BLAINE,005,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"39,564,000"
MONTANA,30,BLAINE,005,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"50,413,000"
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",127
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",11
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",11
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",31
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",57
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",55
MONTANA,30,BLAINE,005,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",199
MONTANA,30,BLAINE,005,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,312
MONTANA,30,BLAINE,005,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"10,435,000"
MONTANA,30,BLAINE,005,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,287
MONTANA,30,BLAINE,005,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"14,318,000"
MONTANA,30,BLAINE,005,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"81,987,000"
MONTANA,30,BLAINE,005,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"166,981"
MONTANA,30,BLAINE,005,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,491
MONTANA,30,BLAINE,005,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"32,743,000"
MONTANA,30,BLAINE,005,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"66,687"
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,242
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"70,698"
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,226
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,2
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,238
MONTANA,30,BLAINE,005,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"50,326"
MONTANA,30,BLAINE,005,HOGS,HOGS - OPERATIONS WITH INVENTORY,,3
MONTANA,30,BLAINE,005,HOGS,HOGS - INVENTORY,,(D)
MONTANA,30,BLAINE,005,HOGS,HOGS - OPERATIONS WITH SALES,,5
MONTANA,30,BLAINE,005,HOGS,"HOGS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,BLAINE,005,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,21
MONTANA,30,BLAINE,005,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"3,036"
MONTANA,30,BLAINE,005,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,17
MONTANA,30,BLAINE,005,CHICKENS,"CHICKENS, LAYERS - INVENTORY",,(D)
MONTANA,30,BLAINE,005,CHICKENS,"CHICKENS, BROILERS - OPERATIONS WITH SALES",,1
MONTANA,30,BLAINE,005,CHICKENS,"CHICKENS, BROILERS - SALES, MEASURED IN HEAD",,(D)
MONTANA,30,BLAINE,005,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",,3
MONTANA,30,BLAINE,005,CORN,"CORN, GRAIN - ACRES HARVESTED",,153
MONTANA,30,BLAINE,005,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",,"8,670"
MONTANA,30,BLAINE,005,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",,9
MONTANA,30,BLAINE,005,CORN,"CORN, SILAGE - ACRES HARVESTED",,743
MONTANA,30,BLAINE,005,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",,"7,109"
MONTANA,30,BLAINE,005,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,,122
MONTANA,30,BLAINE,005,WHEAT,WHEAT - ACRES HARVESTED,,"204,033"
MONTANA,30,BLAINE,005,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",,"4,311,343"
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, SPRING, DURUM - OPERATIONS WITH AREA HARVESTED",,18
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, SPRING, DURUM - ACRES HARVESTED",,"15,992"
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU",,"317,719"
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - OPERATIONS WITH AREA HARVESTED",,106
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"144,148"
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"2,666,334"
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,54
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"43,893"
MONTANA,30,BLAINE,005,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"1,327,290"
MONTANA,30,BLAINE,005,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,1
MONTANA,30,BLAINE,005,OATS,OATS - ACRES HARVESTED,,(D)
MONTANA,30,BLAINE,005,OATS,"OATS - PRODUCTION, MEASURED IN BU",,(D)
MONTANA,30,BLAINE,005,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,28
MONTANA,30,BLAINE,005,BARLEY,BARLEY - ACRES HARVESTED,,"9,604"
MONTANA,30,BLAINE,005,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"301,417"
MONTANA,30,BLAINE,005,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,5
MONTANA,30,BLAINE,005,SOYBEANS,SOYBEANS - ACRES HARVESTED,,154
MONTANA,30,BLAINE,005,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"5,114"
MONTANA,30,BLAINE,005,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,250
MONTANA,30,BLAINE,005,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"69,099"
MONTANA,30,BLAINE,005,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"108,842"
MONTANA,30,BLAINE,005,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,4
MONTANA,30,BLAINE,005,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,11
MONTANA,30,BLAINE,005,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,2
MONTANA,30,BLAINE,005,POTATOES,POTATOES - ACRES HARVESTED,,(D)
MONTANA,30,BLAINE,005,AG LAND,"AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE",,491
