state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,296
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),8
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),67
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),91
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),25
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),17
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",88
MONTANA,30,BROADWATER,007,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"466,920"
MONTANA,30,BROADWATER,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,577"
MONTANA,30,BROADWATER,007,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,149
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,844,915"
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,170"
MONTANA,30,BROADWATER,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"49,219,000"
MONTANA,30,BROADWATER,007,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"166,279"
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,224
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, CROPLAND - ACRES",,"112,503"
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,182
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"60,658"
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,168
MONTANA,30,BROADWATER,007,AG LAND,"AG LAND, IRRIGATED - ACRES",,"47,139"
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"39,688,000"
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"134,080"
MONTANA,30,BROADWATER,007,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"22,510,000"
MONTANA,30,BROADWATER,007,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"17,178,000"
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",119
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",14
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",22
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",25
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",22
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",26
MONTANA,30,BROADWATER,007,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",68
MONTANA,30,BROADWATER,007,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,133
MONTANA,30,BROADWATER,007,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"2,336,000"
MONTANA,30,BROADWATER,007,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,157
MONTANA,30,BROADWATER,007,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"2,935,000"
MONTANA,30,BROADWATER,007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"32,890,000"
MONTANA,30,BROADWATER,007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"111,114"
MONTANA,30,BROADWATER,007,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",,296
MONTANA,30,BROADWATER,007,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $",,"12,069,000"
MONTANA,30,BROADWATER,007,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION",,"40,774"
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",,136
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, INCL CALVES - INVENTORY",,"23,154"
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",,125
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",,(D)
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",,6
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, COWS, MILK - INVENTORY",,(D)
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH SALES",,123
MONTANA,30,BROADWATER,007,CATTLE,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",,"16,053"
MONTANA,30,BROADWATER,007,HOGS,HOGS - OPERATIONS WITH INVENTORY,,4
MONTANA,30,BROADWATER,007,HOGS,HOGS - INVENTORY,,279
MONTANA,30,BROADWATER,007,HOGS,HOGS - OPERATIONS WITH SALES,,12
MONTANA,30,BROADWATER,007,HOGS,"HOGS - SALES, MEASURED IN HEAD",,488
MONTANA,30,BROADWATER,007,SHEEP,"SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY",,14
MONTANA,30,BROADWATER,007,SHEEP,"SHEEP, INCL LAMBS - INVENTORY",,"2,425"
MONTANA,30,BROADWATER,007,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",,51
