state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,725
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),49
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),154
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),150
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),127
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),73
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",172
MONTANA,30,CARBON,009,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"815,758"
MONTANA,30,CARBON,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"1,125"
MONTANA,30,CARBON,009,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,202
MONTANA,30,CARBON,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,669,647"
MONTANA,30,CARBON,009,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,484"
MONTANA,30,CARBON,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"111,653,000"
MONTANA,30,CARBON,009,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"154,004"
MONTANA,30,CARBON,009,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,554
MONTANA,30,CARBON,009,AG LAND,"AG LAND, CROPLAND - ACRES",,"134,972"
MONTANA,30,CARBON,009,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,493
MONTANA,30,CARBON,009,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"103,740"
MONTANA,30,CARBON,009,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,490
