state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,441
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),39
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),68
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),79
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),28
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),55
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",172
MONTANA,30,CUSTER,017,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"2,088,806"
MONTANA,30,CUSTER,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"4,737"
MONTANA,30,CUSTER,017,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,600
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"2,539,839"
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,536
MONTANA,30,CUSTER,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"75,264,000"
MONTANA,30,CUSTER,017,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"170,666"
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,273
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, CROPLAND - ACRES",,"118,537"
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,237
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"63,556"
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,157
MONTANA,30,CUSTER,017,AG LAND,"AG LAND, IRRIGATED - ACRES",,"37,223"
MONTANA,30,CUSTER,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"76,622,000"
MONTANA,30,CUSTER,017,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"173,745"
MONTANA,30,CUSTER,017,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"11,627,000"
MONTANA,30,CUSTER,017,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"64,994,000"
MONTANA,30,CUSTER,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,CUSTER,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",123
MONTANA,30,CUSTER,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",24
MONTANA,30,CUSTER,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",23
MONTANA,30,CUSTER,017,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",36
