state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,277
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),5
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),6
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),15
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),65
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),35
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",151
MONTANA,30,DANIELS,019,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"769,786"
MONTANA,30,DANIELS,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,779"
MONTANA,30,DANIELS,019,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,"1,220"
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,762,211"
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,634
MONTANA,30,DANIELS,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"82,431,000"
MONTANA,30,DANIELS,019,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"297,586"
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,260
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, CROPLAND - ACRES",,"533,740"
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,157
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"358,369"
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,5
MONTANA,30,DANIELS,019,AG LAND,"AG LAND, IRRIGATED - ACRES",,645
MONTANA,30,DANIELS,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"42,187,000"
MONTANA,30,DANIELS,019,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"152,300"
MONTANA,30,DANIELS,019,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"32,626,000"
MONTANA,30,DANIELS,019,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"9,561,000"
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",122
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",6
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (5,000 TO 9,999 $)",8
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",14
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",14
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",20
MONTANA,30,DANIELS,019,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",93
MONTANA,30,DANIELS,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,237
MONTANA,30,DANIELS,019,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"7,683,000"
MONTANA,30,DANIELS,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS",,174
MONTANA,30,DANIELS,019,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $",,"11,945,000"
MONTANA,30,DANIELS,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",,"54,085,000"
MONTANA,30,DANIELS,019,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",,"195,254"
