state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,487
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),16
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),44
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),68
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),89
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),66
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",204
MONTANA,30,DAWSON,021,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"1,132,990"
MONTANA,30,DAWSON,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,"2,326"
MONTANA,30,DAWSON,021,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,640
MONTANA,30,DAWSON,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,554,263"
MONTANA,30,DAWSON,021,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,668
MONTANA,30,DAWSON,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"91,415,000"
MONTANA,30,DAWSON,021,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"191,646"
MONTANA,30,DAWSON,021,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,351
MONTANA,30,DAWSON,021,AG LAND,"AG LAND, CROPLAND - ACRES",,"368,144"
MONTANA,30,DAWSON,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,237
MONTANA,30,DAWSON,021,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"199,493"
