state,state fips,county,county code,commodity,data item,domain category,value
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,77
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),3
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),9
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50 TO 179 ACRES),26
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 499 ACRES),18
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),4
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 OR MORE ACRES)",17
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"74,083"
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",,962
MONTANA,30,DEER LODGE,023,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN",,180
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",,"1,869,813"
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",,"1,943"
MONTANA,30,DEER LODGE,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",,"11,168,000"
MONTANA,30,DEER LODGE,023,MACHINERY TOTALS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION",,"145,035"
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, CROPLAND - NUMBER OF OPERATIONS",,47
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, CROPLAND - ACRES",,"11,772"
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,42
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"7,839"
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, IRRIGATED - NUMBER OF OPERATIONS",,47
MONTANA,30,DEER LODGE,023,AG LAND,"AG LAND, IRRIGATED - ACRES",,"13,117"
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $",,"6,487,000"
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,"COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION",,"84,247"
MONTANA,30,DEER LODGE,023,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",,"731,000"
MONTANA,30,DEER LODGE,023,ANIMAL TOTALS,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",,"5,756,000"
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,,
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (LESS THAN 2,500 $)",35
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (2,500 TO 4,999 $)",7
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (10,000 TO 24,999 $)",10
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (25,000 TO 49,999 $)",5
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (50,000 TO 99,999 $)",3
MONTANA,30,DEER LODGE,023,COMMODITY TOTALS,COMMODITY TOTALS - OPERATIONS WITH SALES,"FARM SALES: (100,000 OR MORE $)",17
MONTANA,30,DEER LODGE,023,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS",,11
MONTANA,30,DEER LODGE,023,GOVT PROGRAMS,"GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $",,"169,000"
